student_id,gender,age,attendance_rate,study_hours_per_day,past_failures,tuition_fee_status,internet_access,course_stream,grade_avg,articleship_completed,audit_hours_logged,ipcc_group_cleared,dropout_status
STU_365390,Male,24,91.14710730234658,9,0,Paid,Yes,B.Com,58.8,Yes,227,Both,0
STU_751404,Female,23,68.89827488842691,4,0,Scholarship,Yes,BBA,58.6,No,0,Group 1,0
STU_659613,Male,17,70.98461030911744,6,2,Paid,Yes,BBA,73.1,Yes,267,Group 1,0
STU_521670,Female,18,94.93122852584978,1,0,Paid,No,Finance,49.7,Yes,142,Group 1,0
STU_110698,Male,21,77.22846392480952,7,0,Paid,Yes,CA,79.8,No,0,Group 1,0
STU_371091,Female,22,54.56661715127684,7,0,Paid,Yes,BBA,68.6,Yes,201,None,0
STU_374519,Male,18,86.52624080095319,3,1,Paid,Yes,CA,31.3,Yes,421,Group 1,1
STU_667309,Female,21,57.45088362544618,4,0,Scholarship,Yes,CA,75.6,Yes,173,Both,1
STU_471949,Male,20,84.64275273356556,8,0,Unpaid,Yes,Finance,67.7,Yes,355,Group 1,0
STU_166588,Female,24,66.74866053530569,5,1,Unpaid,Yes,CA,75.7,No,0,Both,0
STU_610447,Male,23,80.53907013834376,4,2,Unpaid,No,B.Com,51.6,No,0,None,0
STU_153719,Female,17,63.048946876578015,4,1,Paid,Yes,BBA,75.2,No,0,Both,1
STU_625863,Male,24,49.61628188290196,9,1,Paid,Yes,Finance,71.1,No,0,Group 1,1
STU_106951,Male,18,69.56725611009117,2,1,Unpaid,Yes,Finance,58.4,Yes,190,Both,0
STU_999832,Male,17,89.68076365376193,6,0,Unpaid,No,Finance,68.1,Yes,398,Both,0
STU_542460,Male,17,78.81731659163358,1,0,Paid,Yes,BBA,62.4,No,0,None,0
STU_121425,Female,20,53.50867247234679,5,2,Paid,Yes,CA,81.2,Yes,398,None,1
STU_442438,Female,22,59.65033480624908,1,1,Paid,Yes,B.Com,80.3,No,0,None,1
STU_280856,Male,22,88.8174527997473,1,0,Paid,Yes,BBA,57.3,Yes,361,Both,0
STU_514984,Male,24,52.11589540407085,2,1,Scholarship,Yes,B.Com,81.5,No,0,Group 1,1
STU_578180,Male,19,89.14852048276494,3,0,Unpaid,Yes,CA,58.4,No,0,None,0
STU_900192,Female,18,62.7745346109643,2,1,Paid,Yes,B.Com,62.1,No,0,None,1
STU_523026,Male,20,79.63857971449065,4,0,Paid,Yes,B.Com,66.8,No,0,Group 1,0
STU_710463,Female,20,72.32765291905768,5,2,Paid,Yes,CA,57.3,No,0,Group 1,1
STU_587923,Female,24,66.1829599540765,2,2,Paid,Yes,CA,52.6,Yes,157,Group 1,0
STU_311453,Male,21,72.51132920181962,7,2,Unpaid,Yes,CA,80.2,No,0,Group 1,0
STU_810863,Female,23,60.39251855377135,4,0,Unpaid,No,Finance,73.2,Yes,276,Group 1,1
STU_350233,Male,17,58.03520103014971,9,0,Scholarship,Yes,B.Com,48.6,Yes,198,Group 1,1
STU_642238,Female,20,51.955739991779275,6,2,Paid,No,CA,70.3,No,0,Group 1,1
STU_206205,Female,24,100.0,5,0,Paid,Yes,CA,62.0,No,0,Both,0
STU_526859,Female,17,87.36817508096908,3,0,Paid,No,Finance,86.9,Yes,293,Both,0
STU_404140,Male,22,100.0,7,0,Paid,No,Finance,52.9,No,0,Both,0
STU_555458,Female,22,74.6253620993305,9,0,Unpaid,Yes,BBA,67.6,No,0,Both,0
STU_122913,Female,24,63.92849476289186,7,0,Paid,Yes,B.Com,79.3,Yes,337,Group 1,0
STU_163321,Male,23,80.84839678406702,3,0,Paid,Yes,Finance,48.4,No,0,Group 1,0
STU_759557,Male,21,57.72808393435028,8,0,Paid,No,Finance,64.7,Yes,134,Both,1
STU_731169,Male,21,72.84590028923827,9,0,Paid,Yes,B.Com,80.4,No,0,Group 1,0
STU_264584,Male,17,67.14116727924427,8,0,Scholarship,Yes,BBA,33.9,Yes,431,None,1
STU_502693,Female,18,90.22970362694299,9,2,Paid,Yes,Finance,69.9,No,0,Group 1,0
STU_437019,Male,23,85.19565374001824,3,0,Unpaid,Yes,BBA,55.4,Yes,352,Both,0
STU_452363,Female,23,86.83790867288613,6,1,Paid,Yes,Finance,74.2,Yes,107,Both,0
STU_872898,Male,21,72.54344907585951,1,0,Unpaid,Yes,Finance,60.1,No,0,Both,0
STU_494426,Female,24,79.9681841330888,4,0,Unpaid,Yes,BBA,84.7,No,0,Both,0
STU_200942,Male,21,72.7465462670845,7,2,Unpaid,Yes,Finance,61.5,No,0,Group 1,0
STU_677003,Male,22,81.06401870706807,6,0,Paid,Yes,Finance,58.4,Yes,416,None,0
STU_389042,Female,24,64.07295212322859,4,0,Unpaid,Yes,Finance,74.5,No,0,Both,1
STU_794517,Female,21,71.62508251982001,2,0,Unpaid,Yes,B.Com,70.3,No,0,None,0
STU_261674,Male,22,92.602677154768,5,0,Unpaid,Yes,B.Com,70.9,No,0,None,0
STU_101620,Female,19,67.3557126734475,7,1,Unpaid,Yes,CA,76.7,Yes,336,Both,0
STU_880948,Female,21,64.59687924355201,7,1,Paid,No,Finance,51.1,No,0,Both,1
STU_283998,Male,22,79.51194265175158,4,0,Paid,Yes,BBA,78.5,No,0,None,0
STU_890018,Male,18,67.09916842553824,7,0,Paid,Yes,B.Com,72.0,Yes,418,None,0
STU_593462,Male,24,100.0,4,1,Paid,Yes,B.Com,70.1,Yes,223,Both,0
STU_854113,Male,20,64.52375617607841,2,0,Scholarship,Yes,CA,65.6,Yes,496,Both,1
STU_532197,Male,20,100.0,4,0,Unpaid,Yes,Finance,67.2,Yes,199,Group 1,0
STU_541223,Male,20,65.87333530868953,8,0,Paid,Yes,CA,43.6,Yes,280,None,1
STU_615360,Male,24,64.79962886298446,2,0,Scholarship,Yes,CA,52.8,Yes,114,None,1
STU_820874,Female,24,71.23475196440131,2,0,Scholarship,Yes,B.Com,47.0,No,0,Both,0
STU_915019,Female,18,64.51094865786877,3,0,Paid,Yes,BBA,66.7,Yes,473,Group 1,0
STU_381463,Male,17,77.18277114237316,2,1,Paid,Yes,Finance,60.7,No,0,None,0
STU_787304,Female,22,72.6567739349848,1,0,Paid,Yes,CA,55.9,Yes,104,Both,0
STU_211057,Female,23,54.597784582456164,8,0,Unpaid,Yes,BBA,51.2,Yes,118,Group 1,1
STU_251201,Male,20,85.73855797907713,1,1,Paid,Yes,Finance,81.8,Yes,374,Both,0
STU_534678,Male,20,72.41329989540175,8,0,Paid,Yes,Finance,67.1,No,0,None,0
STU_171558,Female,17,74.56667493668049,7,0,Paid,Yes,Finance,64.1,No,0,Both,0
STU_554811,Male,19,71.28007025646704,7,2,Paid,Yes,BBA,57.0,No,0,Group 1,0
STU_802688,Female,20,77.23422355988212,6,0,Paid,Yes,CA,58.5,No,0,None,0
STU_184470,Female,19,77.15375712822336,5,1,Paid,No,BBA,67.0,Yes,283,Group 1,0
STU_322208,Female,22,69.35000779347247,7,0,Paid,No,Finance,98.8,Yes,205,None,0
STU_807417,Male,22,69.55624306539549,9,0,Paid,Yes,Finance,37.7,Yes,279,None,1
STU_847990,Female,23,89.42010536730487,9,0,Paid,Yes,CA,46.3,No,0,None,0
STU_658232,Female,23,70.06231621899586,2,0,Paid,Yes,B.Com,64.2,Yes,327,Group 1,0
STU_834536,Male,23,59.157548046189355,6,0,Paid,Yes,Finance,56.7,Yes,353,Group 1,1
STU_169869,Male,18,72.08447697770868,5,0,Unpaid,Yes,CA,86.0,Yes,476,Group 1,0
STU_719195,Male,19,76.74882763967007,8,0,Unpaid,Yes,BBA,71.1,No,0,None,0
STU_890417,Female,18,68.97646770715718,5,0,Unpaid,No,CA,73.6,Yes,156,Group 1,0
STU_733896,Female,19,61.804264191660906,7,0,Paid,No,CA,84.6,Yes,468,None,1
STU_206890,Female,22,69.4969999259067,9,0,Paid,Yes,B.Com,58.7,No,0,Group 1,0
STU_301377,Male,21,85.69127905157501,4,0,Scholarship,Yes,B.Com,62.1,Yes,339,Group 1,0
STU_567966,Male,23,78.88558918176098,2,0,Unpaid,Yes,BBA,73.8,No,0,None,0
STU_630759,Female,17,49.759040020764886,6,0,Scholarship,Yes,CA,76.6,Yes,269,Group 1,0
STU_895743,Female,21,100.0,3,2,Unpaid,Yes,CA,70.6,Yes,281,Group 1,0
STU_223889,Female,24,70.63402260779677,6,2,Paid,No,Finance,69.5,No,0,Both,0
STU_428972,Male,22,100.0,7,0,Paid,Yes,CA,62.1,Yes,282,None,0
STU_890676,Male,20,52.17307768704392,1,2,Paid,Yes,BBA,55.2,Yes,367,None,1
STU_179428,Female,22,100.0,3,0,Paid,Yes,B.Com,76.7,No,0,None,0
STU_213851,Male,17,65.12234437292635,9,1,Unpaid,Yes,CA,54.2,No,0,Group 1,0
STU_302023,Female,24,100.0,9,2,Unpaid,Yes,CA,81.8,Yes,335,Group 1,0
STU_206653,Male,24,65.85072507417264,1,0,Paid,No,B.Com,71.7,Yes,160,Both,0
STU_214607,Female,18,85.20767651712455,1,0,Unpaid,Yes,BBA,68.7,Yes,112,None,0
STU_694889,Female,24,88.21052087132688,1,0,Unpaid,No,B.Com,79.4,Yes,286,Both,0
STU_633213,Female,24,79.96283953737543,7,1,Unpaid,Yes,BBA,59.4,Yes,329,None,0
STU_199398,Male,23,63.09877262977463,7,0,Unpaid,No,Finance,57.0,No,0,Both,1
STU_193731,Male,18,100.0,6,1,Unpaid,Yes,Finance,77.9,No,0,None,0
STU_751258,Male,17,80.56635414304625,2,0,Unpaid,Yes,BBA,74.0,Yes,263,Group 1,0
STU_585218,Female,23,71.03688922352418,8,1,Paid,Yes,Finance,62.6,No,0,None,0
STU_473109,Female,22,87.12373821785961,1,0,Unpaid,Yes,CA,68.6,No,0,Group 1,0
STU_921833,Male,17,80.33717085070087,6,1,Unpaid,No,B.Com,76.3,Yes,127,None,0
STU_132359,Female,22,72.60419953287013,2,0,Paid,Yes,Finance,60.4,Yes,400,None,0
STU_682169,Female,24,67.27779723659445,2,0,Paid,Yes,CA,69.5,No,0,Group 1,0
STU_311345,Female,18,93.90127084106297,1,0,Paid,Yes,BBA,74.1,Yes,130,Both,0
STU_434269,Female,20,54.27418946733307,8,2,Scholarship,Yes,CA,51.6,Yes,402,None,1
STU_754132,Male,20,81.60132774538371,3,0,Unpaid,Yes,BBA,74.6,Yes,103,Group 1,0
STU_788221,Female,22,76.76782603943576,7,0,Paid,Yes,BBA,61.2,Yes,304,Group 1,0
STU_660702,Female,17,88.75480218984286,8,0,Unpaid,No,Finance,57.5,Yes,327,Both,0
STU_916231,Female,19,58.23358619866778,8,2,Paid,Yes,Finance,33.2,Yes,344,Group 1,1
STU_804536,Female,19,74.17031579326154,8,0,Paid,No,Finance,83.1,No,0,None,0
STU_563247,Male,19,87.52597650522213,6,2,Paid,No,BBA,60.5,No,0,Group 1,0
STU_473067,Male,19,64.96747901590929,2,2,Unpaid,No,Finance,83.7,No,0,None,1
STU_111656,Male,17,88.52796095301592,3,1,Unpaid,Yes,B.Com,56.7,Yes,308,None,0
STU_305178,Male,24,82.18794855569219,1,1,Paid,Yes,B.Com,59.4,Yes,357,Group 1,0
STU_304034,Female,17,65.570260775279,1,1,Unpaid,Yes,CA,78.6,Yes,305,None,0
STU_950249,Female,22,86.76160492122477,3,1,Unpaid,Yes,Finance,74.1,Yes,268,None,0
STU_254156,Female,22,67.61743507914387,5,0,Paid,Yes,CA,54.3,No,0,Group 1,0
STU_208727,Female,19,89.91751863078252,2,0,Paid,Yes,B.Com,66.2,Yes,309,Both,0
STU_525546,Male,20,60.633077204894946,4,0,Scholarship,Yes,BBA,64.3,No,0,Both,0
STU_863883,Female,21,67.47523346996978,2,0,Unpaid,Yes,B.Com,57.1,Yes,261,None,0
STU_282411,Male,19,78.35991214595394,4,0,Paid,Yes,B.Com,39.0,Yes,380,Both,1
STU_937523,Female,23,72.93733318430186,6,1,Paid,No,B.Com,66.5,Yes,148,Group 1,0
STU_851776,Female,17,79.00937243616826,9,0,Paid,No,BBA,58.3,No,0,None,0
STU_961712,Male,18,39.27634834064856,9,1,Paid,Yes,Finance,65.9,No,0,Both,1
STU_630889,Male,17,82.21903492203292,9,0,Paid,No,B.Com,77.5,Yes,296,None,0
STU_298624,Male,21,68.03692976317275,8,0,Paid,Yes,BBA,69.3,Yes,232,Both,0
STU_550740,Male,20,82.72592880339214,2,0,Paid,Yes,BBA,69.3,No,0,Group 1,0
STU_890242,Male,17,87.95371968534396,4,0,Unpaid,Yes,BBA,46.9,Yes,167,None,0
STU_596690,Male,22,73.47530889694097,6,2,Paid,Yes,B.Com,67.9,Yes,451,Group 1,0
STU_540731,Male,19,58.804861448916746,9,1,Unpaid,Yes,BBA,59.6,No,0,None,1
STU_939817,Male,20,73.05276186381425,6,0,Paid,Yes,B.Com,73.9,Yes,368,Both,0
STU_844527,Male,18,94.30830904577105,6,0,Paid,Yes,Finance,72.4,Yes,369,Group 1,0
STU_936327,Female,21,73.62552213019192,5,0,Unpaid,Yes,BBA,59.2,Yes,350,Group 1,0
STU_317850,Female,23,66.24725305659749,5,2,Paid,No,Finance,65.6,No,0,None,0
STU_986259,Male,18,68.95214165388875,5,1,Unpaid,Yes,CA,60.3,No,0,Both,0
STU_602946,Male,18,55.87503507205405,6,0,Paid,Yes,Finance,67.6,Yes,341,Both,1
STU_702022,Female,19,59.02400901320984,6,0,Paid,Yes,CA,76.6,Yes,128,None,0
STU_968953,Female,19,83.47542025762043,1,0,Paid,Yes,Finance,74.6,No,0,Group 1,0
STU_384672,Male,23,69.3068607080829,7,0,Paid,Yes,B.Com,74.7,No,0,None,0
STU_762984,Male,22,86.28070514209541,3,0,Scholarship,Yes,BBA,58.9,No,0,Group 1,0
STU_188541,Male,21,67.91384961708053,5,1,Unpaid,Yes,BBA,77.4,Yes,115,Group 1,0
STU_502098,Female,17,47.78154079453977,3,0,Unpaid,Yes,BBA,54.0,Yes,431,Both,0
STU_952828,Female,17,74.1628629456807,3,0,Paid,Yes,BBA,61.9,Yes,147,None,0
STU_622831,Male,22,66.04331772710492,2,0,Paid,Yes,Finance,73.0,No,0,Group 1,0
STU_202046,Male,20,54.37018128113314,3,0,Paid,Yes,B.Com,80.5,Yes,323,None,1
STU_230285,Female,24,59.0413005102343,9,0,Paid,Yes,CA,73.5,Yes,416,Group 1,1
STU_753348,Female,17,84.02715130690353,8,0,Unpaid,Yes,B.Com,80.0,No,0,Group 1,0
STU_184491,Male,21,64.3010844905406,9,0,Paid,Yes,BBA,64.0,No,0,None,1
STU_676931,Female,21,80.61927096389708,9,1,Paid,Yes,BBA,69.8,Yes,114,Both,0
STU_146764,Male,24,79.43511430215342,2,0,Paid,Yes,B.Com,40.1,Yes,182,Group 1,1
STU_859455,Female,20,65.96404855377982,9,1,Paid,Yes,B.Com,65.9,Yes,189,None,0
STU_261095,Male,18,63.83139356770932,7,0,Scholarship,Yes,Finance,68.9,Yes,347,Both,1
STU_992994,Female,23,68.30932161825223,1,0,Unpaid,Yes,Finance,73.1,Yes,445,None,0
STU_113751,Male,22,100.0,8,2,Unpaid,Yes,B.Com,62.6,Yes,285,Both,0
STU_153132,Female,18,58.7924437735752,8,0,Paid,Yes,B.Com,54.3,No,0,Group 1,1
STU_935529,Male,24,73.45610708861136,8,1,Paid,Yes,Finance,57.7,No,0,Both,0
STU_627347,Female,19,56.25669463866226,6,0,Unpaid,Yes,Finance,41.6,Yes,435,Group 1,1
STU_167068,Male,20,69.07629189275545,6,0,Unpaid,Yes,BBA,62.8,No,0,None,0
STU_762702,Female,20,70.19883895986777,7,0,Paid,No,Finance,45.4,No,0,Both,0
STU_812106,Male,24,55.88931698026572,6,1,Paid,Yes,B.Com,60.1,Yes,298,Both,1
STU_914723,Female,22,79.94327230715031,1,0,Scholarship,Yes,Finance,83.1,No,0,Group 1,0
STU_953007,Male,20,75.81265491288579,5,0,Paid,Yes,Finance,72.5,Yes,249,None,0
STU_890844,Male,17,62.3110363056225,5,0,Unpaid,Yes,CA,71.0,Yes,452,Both,1
STU_324810,Male,23,56.91656317013671,6,2,Paid,Yes,CA,52.6,Yes,142,Group 1,1
STU_906973,Female,19,63.15033818780909,1,0,Paid,Yes,Finance,50.8,No,0,Both,0
STU_547475,Female,20,74.20710129282658,8,2,Paid,Yes,Finance,85.6,No,0,Both,0
STU_439479,Male,19,79.16635992915371,3,1,Unpaid,Yes,Finance,47.5,Yes,342,Both,1
STU_466703,Male,23,63.21464570853501,5,0,Unpaid,Yes,Finance,53.0,Yes,313,Group 1,0
STU_904580,Female,17,56.51561207355306,4,2,Paid,Yes,B.Com,72.7,Yes,206,Both,1
STU_622513,Female,17,68.70112473582147,1,0,Paid,Yes,BBA,64.5,Yes,457,Both,0
STU_127714,Female,18,62.32368239266471,8,1,Paid,Yes,Finance,64.7,Yes,176,Both,1
STU_712350,Female,19,96.09031326254694,5,0,Paid,Yes,CA,64.0,Yes,314,None,0
STU_207667,Female,22,97.7412352664967,6,0,Paid,Yes,BBA,40.7,No,0,Group 1,1
STU_524303,Female,23,75.95546265873675,2,0,Paid,Yes,CA,67.7,No,0,Both,0
STU_476920,Female,20,59.20455903650572,3,0,Paid,No,CA,70.9,Yes,230,Both,0
STU_156630,Female,19,52.31620388279728,8,1,Paid,Yes,BBA,51.3,No,0,None,1
STU_519044,Male,19,61.26281077872548,7,2,Paid,No,CA,60.2,No,0,Group 1,1
STU_527046,Male,20,73.79109679051483,5,2,Paid,Yes,Finance,85.9,Yes,489,None,0
STU_773129,Female,20,65.51599806916603,2,0,Unpaid,Yes,BBA,60.7,Yes,380,Both,0
STU_948990,Male,19,87.16316557858337,5,2,Unpaid,Yes,Finance,82.4,Yes,257,Both,0
STU_802368,Male,19,70.81901903416369,8,0,Paid,No,BBA,78.0,No,0,None,0
STU_474833,Female,22,53.978071594740115,7,0,Paid,Yes,B.Com,52.9,Yes,151,Both,1
STU_591570,Male,22,72.90981545476328,5,0,Paid,No,Finance,43.4,Yes,148,None,1
STU_317794,Female,19,72.84418764310475,7,0,Unpaid,Yes,BBA,76.1,Yes,431,Group 1,0
STU_114753,Male,17,68.10358637533251,4,2,Unpaid,Yes,Finance,50.6,Yes,324,Both,0
STU_537229,Male,18,100.0,5,2,Paid,Yes,CA,67.1,Yes,405,Group 1,0
STU_747388,Female,18,100.0,6,0,Paid,Yes,Finance,59.4,No,0,Group 1,0
STU_435914,Female,20,74.98835698549766,4,0,Unpaid,Yes,BBA,70.1,Yes,473,Both,0
STU_807561,Female,21,51.94502462167084,2,0,Paid,Yes,B.Com,54.5,Yes,190,None,1
STU_948033,Male,17,71.91089255131523,2,2,Scholarship,Yes,Finance,46.2,No,0,Group 1,0
STU_741386,Female,23,82.812357160008,4,0,Paid,Yes,BBA,84.3,No,0,None,0
STU_356113,Female,22,74.17079679804573,8,0,Unpaid,Yes,B.Com,64.0,No,0,Group 1,0
STU_557325,Male,21,59.47704397634339,3,0,Unpaid,Yes,B.Com,53.3,No,0,Group 1,0
STU_876375,Female,20,96.35371204377638,3,0,Unpaid,Yes,Finance,83.2,Yes,170,None,0
STU_422128,Male,24,67.59660842485066,6,1,Paid,Yes,Finance,57.9,No,0,Group 1,0
STU_988138,Female,24,100.0,5,0,Unpaid,Yes,CA,41.3,Yes,318,Group 1,0
STU_676906,Female,22,76.51086104243798,3,0,Paid,Yes,BBA,58.6,Yes,185,Group 1,0
STU_502152,Male,23,60.17338810466489,3,2,Scholarship,No,Finance,43.7,No,0,None,1
STU_296939,Female,19,86.79928296363292,7,0,Unpaid,Yes,BBA,92.0,Yes,328,Both,0
STU_139098,Female,21,77.99328362552883,8,0,Unpaid,Yes,Finance,61.0,No,0,Both,0
STU_958427,Female,21,62.050903756032426,5,2,Paid,Yes,CA,54.2,Yes,136,Both,1
STU_915487,Female,19,87.3855672774452,3,1,Paid,Yes,CA,60.4,No,0,None,0
STU_701478,Male,17,58.18366617251057,6,1,Paid,Yes,B.Com,89.0,Yes,206,Group 1,1
STU_362329,Female,18,83.76804143962734,9,0,Scholarship,No,CA,76.3,Yes,196,Both,0
STU_218161,Female,23,84.60662648503937,5,0,Paid,Yes,Finance,64.2,No,0,Both,0
STU_371714,Male,19,87.66212323541772,5,0,Paid,No,CA,52.3,Yes,290,Both,0
STU_278893,Female,22,89.99388493234589,2,0,Paid,Yes,B.Com,30.8,Yes,461,Both,1
STU_666705,Female,19,93.41546383044846,8,0,Paid,Yes,BBA,74.0,No,0,Group 1,0
STU_518451,Male,18,50.12998058885526,3,0,Paid,Yes,CA,97.3,Yes,141,Both,1
STU_320977,Female,20,92.43199417860401,8,1,Scholarship,Yes,CA,77.3,No,0,Group 1,0
STU_131182,Male,18,68.13910619677266,4,0,Paid,Yes,Finance,70.6,Yes,490,None,0
STU_843761,Female,18,64.68299768122402,1,0,Scholarship,Yes,CA,52.3,No,0,Group 1,0
STU_484137,Female,21,72.32731595927682,9,0,Paid,Yes,Finance,69.2,Yes,398,Both,0
STU_249892,Male,19,79.88947802383542,8,0,Unpaid,Yes,Finance,78.7,No,0,None,0
STU_248952,Female,19,60.63678518532791,2,0,Unpaid,Yes,BBA,52.2,No,0,Group 1,1
STU_985976,Male,21,79.79863602810964,9,0,Unpaid,Yes,BBA,75.1,No,0,None,0
STU_717782,Male,18,82.7514831371222,3,0,Paid,Yes,B.Com,43.3,No,0,Both,0
STU_643034,Male,23,88.31401157855503,7,0,Paid,Yes,B.Com,56.2,No,0,None,0
STU_736950,Female,22,57.18806156242614,7,1,Paid,No,CA,58.5,Yes,163,Both,1
STU_180461,Male,24,78.61163018467903,4,0,Paid,Yes,B.Com,60.0,No,0,Both,0
STU_767490,Male,17,84.18931657319096,9,0,Paid,Yes,CA,53.0,Yes,284,None,0
STU_523838,Male,20,83.10535616439728,4,0,Paid,Yes,Finance,89.5,No,0,None,0
STU_528242,Female,23,91.41871364310495,7,0,Paid,Yes,Finance,53.7,No,0,Group 1,0
STU_199099,Male,21,79.24414448689923,6,1,Scholarship,Yes,CA,38.8,No,0,Group 1,1
STU_585068,Female,17,57.08087658209699,9,0,Unpaid,Yes,Finance,79.7,Yes,390,Group 1,1
STU_177348,Male,18,99.30795088912183,7,0,Paid,Yes,Finance,53.9,Yes,238,Both,0
STU_819317,Male,18,84.47339951992676,1,0,Paid,Yes,BBA,57.3,Yes,187,Both,0
STU_724084,Female,19,100.0,7,0,Paid,Yes,BBA,66.5,Yes,460,Group 1,0
STU_738415,Male,24,73.39362785218938,2,0,Paid,Yes,CA,51.3,Yes,389,None,0
STU_439216,Female,22,74.73868545493998,6,2,Unpaid,Yes,BBA,55.5,Yes,484,None,0
STU_360254,Male,23,62.14761945088258,2,0,Paid,Yes,BBA,73.1,Yes,473,Both,1
STU_123822,Female,23,75.39930994149995,2,1,Paid,Yes,B.Com,55.6,Yes,149,Both,0
STU_465790,Male,18,60.295976131110635,9,0,Paid,Yes,CA,49.8,No,0,None,1
STU_109945,Female,21,81.36988557610663,5,0,Scholarship,No,BBA,52.1,Yes,260,Group 1,0
STU_233874,Male,23,65.32200385690501,8,0,Paid,No,B.Com,52.6,Yes,409,None,0
STU_893748,Male,19,87.55206227591329,8,0,Paid,No,B.Com,69.4,No,0,None,0
STU_295864,Female,21,63.88975238778699,4,1,Paid,Yes,B.Com,51.4,No,0,Both,1
STU_487257,Female,22,96.9636569463355,6,1,Paid,Yes,B.Com,86.5,Yes,408,Both,0
STU_343210,Female,23,89.97793733418446,8,0,Paid,No,Finance,82.6,Yes,406,Group 1,0
STU_666591,Male,20,59.704396219122415,5,0,Paid,Yes,BBA,66.6,No,0,None,1
STU_775436,Male,21,55.270688726771326,3,2,Unpaid,Yes,Finance,66.7,No,0,None,1
