student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,specialization,cgpa,internship_score,case_studies,dropout_status
STU_987494,Pooja Grover,jasmitganguly@example.net,+918464808551,Female,20,86.9,3.4,0,Medium,Yes,Marketing,7.33,7,28,0
STU_624155,Vyanjana Mukhopadhyay,naraingayathri@example.com,+917831770705,Female,21,88.7,3.3,0,Low,No,HR,6.8,1,35,1
STU_837524,Yashoda Deol,anay72@example.com,+919280997637,Female,20,97.3,1.5,0,High,No,Marketing,6.81,9,5,0
STU_907921,Eesha Talwar,tanejajasmit@example.org,+917676240868,Male,20,87.5,5.9,1,Medium,Yes,Marketing,5.49,3,39,1
STU_851840,Sathvik Sandal,qmuni@example.com,+917095209843,Female,19,62.7,8.0,0,High,No,HR,7.52,3,9,0
STU_965537,Rajeshri Jani,joshua06@example.com,+918976100401,Female,23,81.9,8.8,3,Low,No,HR,8.46,1,11,1
STU_631209,Sai Deshmukh,chanchal63@example.org,+916306347695,Male,19,83.4,4.9,0,Low,No,HR,7.0,4,47,0
STU_501332,Arin Balakrishnan,goelupma@example.org,+917230867282,Male,19,81.8,5.9,0,Medium,No,HR,6.44,2,17,1
STU_713335,Oviya Sarma,hamsini25@example.net,+916003261722,Female,20,97.4,9.3,1,Low,No,HR,7.09,1,10,1
STU_886658,Hredhaan Bhavsar,jchahal@example.org,+917236604803,Male,19,92.8,3.4,0,Medium,No,HR,7.65,1,17,0
STU_596410,Ridhi Gill,mdeol@example.org,+918443287947,Male,20,85.9,7.1,0,Medium,No,Marketing,7.97,1,26,0
STU_657288,Irya Chatterjee,nayakedhitha@example.com,+917787623340,Female,21,95.0,4.2,0,Low,No,Marketing,7.41,6,34,0
STU_867945,Ishanvi Saha,wsridhar@example.com,+917148214702,Female,19,70.4,8.9,0,Medium,No,HR,6.76,1,17,0
STU_858257,Nathaniel Guha,nimrat53@example.org,+916906655220,Female,19,63.7,6.9,0,Low,No,HR,6.27,6,24,1
STU_765087,Maanav Golla,anya62@example.org,+917098488133,Male,22,95.7,6.1,0,High,No,HR,7.05,3,47,0
STU_363170,Gagan Jain,bhavani33@example.net,+919277766476,Female,20,89.7,2.3,1,Medium,No,Marketing,7.68,1,5,0
STU_961365,Gautami Biswas,ssood@example.net,+919463092028,Female,22,96.0,5.7,0,Low,No,HR,5.79,7,20,1
STU_720077,Balhaar Raval,nandini59@example.com,+916674955870,Female,21,92.1,2.2,0,High,No,HR,7.2,7,44,0
STU_856165,Umang Bhasin,dugarchakrika@example.net,+918118912591,Female,19,90.0,3.0,1,Medium,No,Marketing,6.57,2,21,0
STU_455464,Yoshita Mistry,yashvi72@example.org,+919072726636,Female,22,72.2,4.0,0,Medium,No,Marketing,7.12,4,12,0
STU_940881,Victor Ramesh,chamelirout@example.org,+916964083032,Male,23,90.5,3.1,0,Low,No,Marketing,6.48,7,38,0
STU_313217,Ucchal Oommen,jairajvora@example.org,+917984561681,Male,20,84.3,5.2,2,Low,No,HR,7.92,1,13,1
STU_128567,Shivani Mane,rohanbarman@example.org,+919685885961,Male,23,88.4,5.0,0,High,No,Marketing,7.71,9,43,0
STU_303784,Falguni Borah,borrachaaya@example.com,+916330313285,Male,21,86.7,4.9,1,Low,No,Marketing,10.0,4,48,0
STU_517565,William De,gjha@example.org,+919293746203,Female,18,77.2,6.7,0,Medium,Yes,HR,6.79,3,22,0
STU_215502,Arya Anand,ojasvigala@example.net,+917745385986,Male,19,92.1,5.2,0,Medium,No,Marketing,6.65,7,17,0
STU_688973,Jatin Pau,amol80@example.net,+916609264877,Male,21,95.8,3.2,0,High,No,Marketing,7.11,6,21,0
STU_316871,Viraj Lal,yauvani47@example.org,+918654710144,Male,22,64.6,1.1,0,Medium,No,HR,8.49,7,17,0
STU_616414,Chatresh Choudhry,gagansehgal@example.com,+919627518690,Male,23,82.7,3.3,0,Medium,No,Marketing,6.63,5,34,0
STU_552125,Oni Oak,gabriel45@example.net,+916767454693,Male,18,83.3,2.5,0,Low,No,Marketing,6.96,4,33,0
STU_889079,Darpan Sharaf,timothy33@example.org,+917508643169,Male,19,70.6,6.9,0,High,No,Marketing,7.65,6,21,0
STU_696091,Girik Bava,kuriancharita@example.net,+916292685376,Male,20,84.7,2.4,0,Medium,Yes,Marketing,8.82,4,15,0
STU_216854,Kevin Tara,bvarkey@example.net,+918513391544,Male,19,95.5,4.1,0,High,Yes,Marketing,6.66,6,47,0
STU_208221,Bhavna Patla,ddass@example.org,+919275086613,Male,22,82.8,4.3,1,Medium,No,Marketing,5.71,1,43,1
STU_910141,Ucchal Palan,esama@example.net,+917551503437,Female,18,82.2,8.0,0,Medium,No,Marketing,5.14,5,18,0
STU_826671,Charvi Gara,veer71@example.com,+916971345145,Male,18,80.7,2.3,1,Medium,No,Marketing,8.21,7,5,0
STU_254040,Qarin Banik,balhaar22@example.com,+918394050066,Female,21,75.1,3.7,1,Medium,Yes,HR,6.62,9,37,1
STU_762800,Megha Prashad,yashodadhar@example.org,+919467687347,Male,21,92.3,5.0,1,Medium,No,HR,6.65,8,43,0
STU_124763,Hitesh Doshi,nazarethharita@example.org,+918396939574,Male,22,91.6,4.3,0,Low,No,Marketing,6.22,4,12,0
STU_371434,Tanveer Dey,chavvi31@example.net,+917149736168,Female,22,92.8,6.3,0,Medium,No,Marketing,5.92,5,38,0
STU_590564,Girik Bhargava,noza@example.net,+917661546915,Female,20,93.7,5.4,0,Medium,No,HR,7.08,8,30,0
STU_583607,Chavvi Chandran,bahuja@example.net,+917503015347,Male,19,74.7,2.6,0,High,No,HR,7.21,9,47,0
STU_398773,Arin Raj,esengupta@example.com,+916275426510,Female,23,80.3,4.1,0,High,No,Marketing,6.64,2,33,1
STU_523299,Vasatika Shan,loganlalla@example.net,+917331804001,Female,23,86.0,4.1,1,High,No,Marketing,7.66,2,11,0
STU_311326,Hredhaan Dora,tanvibains@example.net,+918405330040,Male,19,69.7,3.0,1,Medium,No,Marketing,7.64,4,36,0
STU_881030,Girish Sampath,pushtiwason@example.org,+917225194201,Male,18,43.5,6.6,1,Medium,No,Marketing,7.79,4,22,1
STU_928619,Yashawini Deshmukh,madhavi06@example.com,+919479702817,Female,21,87.0,14.0,0,Medium,No,HR,8.64,3,39,0
STU_680576,Isaac Ramaswamy,epandey@example.net,+919445708800,Male,20,88.3,5.5,1,Low,No,Marketing,6.5,9,35,0
STU_302596,Yuvraj Chahal,falguni37@example.com,+917587899105,Female,22,93.2,5.2,1,High,Yes,Marketing,7.8,4,43,0
STU_219184,Gopal Parikh,ayaansoni@example.org,+919995776505,Male,23,89.5,4.5,0,Medium,Yes,HR,6.3,3,11,0
STU_164700,Sudiksha Kota,rdayal@example.net,+919476366870,Female,22,77.0,3.6,0,Medium,No,HR,7.51,9,26,0
STU_578692,Onveer Savant,vpillay@example.org,+918808669905,Female,18,81.2,3.6,0,High,No,HR,5.86,5,12,1
STU_989548,Charvi De,parthdate@example.com,+919027685884,Female,18,91.2,4.9,0,Medium,No,Marketing,7.09,4,36,0
STU_523364,Umang Dash,niteshgoda@example.net,+918080641845,Male,20,83.0,9.0,0,Medium,No,HR,8.96,7,46,0
STU_958876,Ronith Panchal,rattaneiravati@example.org,+917311645726,Male,21,93.9,2.9,0,Medium,Yes,Marketing,10.0,8,21,0
STU_725346,Hemal Mistry,kibelakshmi@example.net,+917617544603,Female,20,96.1,4.1,0,Medium,No,HR,7.83,2,47,0
STU_351817,Joshua Kata,pratyushkalla@example.org,+916008550423,Female,20,65.2,5.5,1,Medium,No,HR,7.46,6,18,1
STU_345924,Jairaj Varghese,ekansh22@example.com,+916614697089,Male,20,76.8,7.3,0,Medium,No,HR,5.67,6,36,0
STU_163498,Laban Ganesan,balkabir@example.com,+917387971900,Female,19,59.8,7.5,1,Medium,No,Marketing,7.92,9,6,0
STU_297822,Yadavi Chanda,jasonpall@example.org,+916378323715,Female,18,86.4,4.2,0,Medium,No,HR,7.63,8,35,1
STU_211559,Varsha Boase,rparmar@example.com,+919176931522,Male,18,96.1,5.8,0,Medium,No,HR,8.96,5,37,0
STU_141199,Kiaan Kapoor,kalekala@example.com,+917502120729,Male,21,84.1,2.1,2,High,No,Marketing,7.82,5,26,1
STU_978265,Pranav Memon,gacharya@example.org,+919269117566,Male,22,98.5,0.1,1,Medium,No,Marketing,6.28,4,34,1
STU_602117,Kashvi Cherian,fariq90@example.net,+916972167266,Female,20,90.6,2.0,0,Low,No,Marketing,8.95,3,39,0
STU_265321,Hredhaan Sastry,aarini71@example.com,+916646013222,Female,18,92.6,1.6,0,Medium,No,HR,8.98,6,21,0
STU_160891,Leela Hari,panne@example.com,+916503441075,Female,19,94.8,10.6,2,Low,No,HR,7.86,4,24,1
STU_598193,Advika Mall,vchawla@example.net,+918242135829,Male,18,80.7,3.0,1,Medium,No,Marketing,6.3,4,27,1
STU_817220,Lopa Sengupta,lmukhopadhyay@example.com,+916472272071,Male,19,90.0,9.4,0,Low,No,HR,7.43,1,19,0
STU_225609,Krishna Samra,nayakansh@example.org,+917974393364,Male,18,61.8,5.7,0,Medium,No,HR,5.99,7,38,0
STU_788739,Aarini Bora,diya45@example.org,+919072391575,Male,18,92.1,6.4,1,Medium,No,HR,6.89,3,38,1
STU_613467,Pranav Nair,jacobrattan@example.org,+917643216617,Female,18,82.5,2.3,0,Medium,No,HR,7.62,8,33,0
STU_310126,Lopa Krishnamurthy,aarini37@example.org,+919274047195,Male,21,89.7,2.3,0,High,No,HR,6.57,7,13,0
STU_284670,Widisha Pradhan,ulalla@example.com,+919269171800,Male,23,75.0,1.2,0,High,No,HR,6.46,8,24,0
STU_323522,Tripti Mitter,gmandal@example.org,+919365068002,Male,18,94.1,0.9,0,Medium,Yes,Marketing,7.24,8,7,0
STU_386001,Samar Sha,noahdivan@example.com,+916983802490,Male,20,85.3,1.4,2,Low,No,HR,7.2,3,11,1
STU_882537,Neha Pradhan,dubeishaan@example.net,+919280109958,Female,19,70.3,5.7,2,Medium,Yes,Marketing,6.11,8,8,1
STU_129477,Samesh Chhabra,odate@example.com,+918656672409,Female,23,79.3,10.2,0,Medium,No,Marketing,9.62,1,36,1
STU_415298,Tanveer Lad,pkala@example.com,+917611557564,Male,20,59.5,0.7,0,High,No,HR,7.86,8,48,0
STU_207908,Deepa Sunder,imarangola@example.net,+916069125645,Male,19,93.8,6.0,0,Medium,No,Marketing,6.87,7,12,1
STU_418953,Nachiket Bhalla,tanmayidhillon@example.org,+918611212413,Female,19,84.7,3.4,0,High,No,Marketing,7.4,6,16,0
STU_322640,Hardik Bhatnagar,kulkarniethan@example.net,+917685726660,Female,21,82.4,6.0,0,Medium,No,Marketing,6.56,6,40,0
STU_785534,Nimrat Suresh,wrideshrattan@example.com,+918108288237,Male,18,83.3,10.3,0,Medium,No,Marketing,7.1,1,44,0
STU_577344,Onkar Choudhury,daniel06@example.org,+916200912416,Female,21,81.5,3.0,1,Medium,No,Marketing,6.11,6,14,0
STU_394988,Karan Bhargava,lukesarkar@example.com,+918069970414,Male,20,79.8,9.7,0,Medium,No,HR,8.21,7,20,1
STU_331320,Kevin Mitter,pavani29@example.net,+917840843439,Female,18,86.0,2.8,0,Low,No,Marketing,7.57,9,41,0
STU_935799,Yashasvi Garde,chamelimodi@example.net,+917223390450,Male,22,61.7,5.0,0,Low,No,HR,8.15,1,8,0
STU_290229,Ekaja Puri,senguptaomaja@example.net,+917863811674,Male,19,67.5,6.4,2,Low,No,Marketing,6.6,7,23,1
STU_750565,Falak Balasubramanian,sodhiveer@example.com,+916787058183,Male,18,91.9,7.0,0,Medium,No,HR,7.66,7,37,0
STU_162057,Gautami Parmer,wmanda@example.org,+916210227248,Female,18,85.4,4.8,0,Low,No,Marketing,6.94,1,47,0
STU_189603,Bina Kalita,vermavamakshi@example.net,+918512669576,Female,23,78.5,2.3,0,Medium,No,Marketing,5.8,8,38,0
STU_168036,Meera Shan,ladtriya@example.org,+919769113231,Male,18,86.6,6.3,0,High,No,Marketing,6.35,5,27,1
STU_924088,Arunima Rout,balyagnesh@example.net,+918472320849,Female,20,90.2,3.2,0,Medium,No,HR,6.59,8,38,0
STU_968471,Chatresh Krish,kboase@example.org,+918085623316,Female,18,95.9,5.1,0,Medium,No,HR,7.85,5,33,0
STU_487086,Ryan Suri,naurora@example.com,+918503827283,Male,19,88.1,7.6,0,Medium,No,Marketing,8.68,6,23,0
STU_504414,Inaya Ram,jacharya@example.net,+917047717135,Female,18,70.8,2.1,0,Medium,No,Marketing,5.64,2,17,1
STU_692234,Sarthak Raja,haritabasak@example.com,+918636351371,Male,21,90.4,4.2,0,High,Yes,HR,8.08,5,38,0
STU_974766,Imaran Sura,narya@example.org,+919834184308,Male,23,94.5,7.2,1,Medium,No,HR,7.13,2,17,0
STU_274216,Yachana Lall,hbatra@example.com,+916780911708,Male,20,45.3,2.2,0,Low,No,HR,5.91,6,20,1
STU_268799,Gaurika Bhardwaj,wsami@example.com,+918239911823,Male,22,88.1,3.3,1,Low,No,Marketing,6.08,9,42,1
STU_904466,Zayyan Lal,tanish44@example.org,+916381851829,Female,18,90.4,1.5,0,Low,No,Marketing,6.72,6,22,1
STU_269938,Gauri Balakrishnan,madangirindra@example.org,+918106834417,Female,23,84.7,3.0,0,Medium,No,HR,6.31,7,32,1
STU_552054,Ikshita Pall,zaitra55@example.org,+919124278461,Male,23,56.3,4.2,0,Low,No,Marketing,7.62,8,16,0
STU_735323,Samarth Rastogi,nagikrishna@example.com,+917123172415,Female,23,89.1,4.5,0,High,No,Marketing,7.93,5,12,0
STU_956436,Champak Seshadri,vinayanaik@example.com,+919398007871,Male,19,71.3,3.4,0,Medium,No,Marketing,8.31,8,19,1
STU_426816,Yashawini Sridhar,bhavanicheema@example.com,+919218205830,Female,18,93.7,4.9,0,Medium,No,HR,6.43,3,23,0
STU_623762,Leena Bajaj,rameshnetra@example.org,+919854292177,Female,22,88.8,1.4,0,Medium,No,Marketing,6.58,5,13,1
STU_737466,Qushi De,forum29@example.com,+917579193736,Male,19,59.1,5.7,2,Medium,No,Marketing,6.19,4,17,1
STU_948185,Onveer Gala,daksheshnazareth@example.org,+916815509674,Male,23,75.6,2.8,2,Medium,No,HR,7.81,8,11,1
STU_913986,Sudiksha Ganesan,daniel15@example.net,+919868101940,Male,22,86.8,4.1,0,Medium,No,HR,6.4,9,32,0
STU_420300,Ayaan Panchal,eta93@example.org,+917215247866,Female,22,92.8,5.5,0,Low,No,HR,5.84,3,33,0
STU_211409,Andrew Yohannan,zrattan@example.com,+917617933733,Male,20,76.1,6.9,0,Medium,No,HR,7.5,3,45,1
STU_842823,Zansi Venkatesh,boselohit@example.com,+917736145684,Female,20,78.3,4.6,1,High,No,HR,6.42,7,5,1
STU_728346,Azad Madan,anmol19@example.com,+919737432615,Female,20,88.1,4.0,0,High,No,Marketing,6.78,4,13,1
STU_772980,Dominic Prabhakar,chaitaly08@example.net,+916228760128,Female,22,93.3,2.6,1,Medium,Yes,Marketing,5.37,4,29,1
STU_976588,Geetika Sule,hritik54@example.com,+917627357574,Male,19,71.2,3.3,0,Medium,No,Marketing,6.73,8,22,0
STU_351030,Vincent Contractor,vkunda@example.com,+918964179820,Male,22,84.9,5.7,0,Medium,Yes,HR,7.4,5,22,0
STU_715544,Kamala Grewal,priyavarma@example.net,+916309482720,Female,20,82.0,4.5,0,High,No,HR,5.74,2,14,0
STU_256645,Falan Chauhan,ramanathanshravya@example.net,+917911034514,Female,19,86.0,6.2,1,High,No,HR,8.13,5,15,0
STU_444043,Ojas Walia,agrawalvanya@example.org,+916744932006,Male,20,69.1,7.0,1,Medium,No,HR,5.99,6,21,1
STU_961390,Forum Randhawa,gdara@example.com,+916821640964,Male,21,87.1,4.3,0,High,No,Marketing,7.07,9,9,0
STU_318245,Tejas Wason,bachittar07@example.org,+916137227835,Female,22,77.1,3.2,0,Medium,No,HR,5.59,6,22,0
STU_918058,Krishna Bora,karayatan@example.net,+916251097486,Male,21,86.1,1.8,1,High,No,HR,7.23,1,11,0
STU_361076,Kala Parikh,ryanmaharaj@example.org,+918139494186,Female,21,90.8,4.6,1,High,No,Marketing,7.69,9,40,1
STU_571718,Anika Mistry,dubecharvi@example.net,+916934997280,Male,19,84.7,3.9,1,Medium,No,Marketing,8.35,5,13,0
STU_617196,Yatan Jaggi,andrew46@example.org,+918369101313,Female,19,96.5,3.6,1,High,No,Marketing,7.48,5,24,0
STU_372730,Sai Srinivas,qtailor@example.com,+916230314039,Female,22,84.8,1.7,0,Medium,No,Marketing,7.72,9,45,0
STU_916760,Waida Rai,chandresh55@example.net,+918560766447,Female,21,78.6,6.9,0,High,No,HR,9.08,2,39,0
STU_597060,Reyansh Bhakta,sharafjagat@example.org,+917545717678,Female,22,93.1,7.0,0,Medium,No,HR,5.53,3,27,0
STU_933662,Tanveer Mangat,gaurang63@example.org,+916580112608,Female,20,77.2,3.7,0,Medium,No,HR,5.18,4,37,0
STU_367131,Girik Dass,ojayaraman@example.com,+916173865254,Female,21,92.2,4.7,0,Medium,No,Marketing,8.85,9,48,0
STU_480959,Unni Padmanabhan,chandran87@example.com,+916257163199,Male,18,70.8,4.0,0,Medium,Yes,HR,6.85,8,46,1
STU_909454,Caleb Datta,zbarad@example.org,+916951943916,Female,21,87.9,4.1,1,Medium,No,HR,7.14,8,41,1
STU_417658,Qasim Gole,anvi45@example.org,+919671294435,Male,18,91.6,1.3,0,Medium,No,HR,8.37,9,31,0
STU_532146,Joshua Sarraf,fariq96@example.org,+916418573604,Female,18,93.6,4.1,0,High,No,Marketing,6.89,7,11,0
STU_125938,Dev Doctor,salviindrajit@example.net,+918856640177,Male,20,92.3,3.7,0,Medium,No,Marketing,6.85,1,46,1
STU_791377,Andrew Chanda,chaaya07@example.com,+917901369381,Male,22,70.5,5.2,0,Low,No,HR,5.55,8,47,0
STU_591097,Pooja Bala,amruta72@example.net,+918114895111,Male,19,62.0,5.2,0,Medium,No,Marketing,7.1,3,34,0
STU_238990,Advaith Venkataraman,wreddy@example.net,+918103610910,Male,23,76.9,6.4,0,Medium,Yes,Marketing,6.11,4,41,0
STU_602792,Balvan Oommen,taraadweta@example.org,+918656920091,Male,19,70.5,1.4,0,Medium,No,HR,7.53,1,38,1
STU_141741,Inaya More,lilazacharia@example.net,+918578599417,Male,21,88.7,3.1,0,Low,No,HR,6.33,5,34,1
STU_797519,Dalbir Madan,nitara94@example.net,+916747317637,Female,23,96.4,1.3,0,High,No,Marketing,6.18,9,42,0
STU_406142,Aarav Ratti,vaishnavibutala@example.org,+917170554286,Female,22,92.8,2.1,0,Low,No,HR,8.82,4,22,0
STU_569902,Gaurika Radhakrishnan,ajani@example.net,+916165358127,Male,18,91.6,8.9,0,Medium,No,HR,6.73,9,13,0
STU_259650,Lopa Gandhi,yagnesh82@example.org,+917336391831,Female,21,73.9,6.3,0,Low,No,HR,6.17,5,9,1
STU_362139,Abdul Dewan,kaultriya@example.org,+918622460247,Female,18,83.1,11.8,0,High,No,HR,6.85,9,24,0
STU_240812,Aryan Gupta,onirattan@example.org,+916460683680,Male,19,79.3,4.7,1,Medium,Yes,Marketing,6.62,1,45,0
STU_577686,Vanya Ahluwalia,hemani08@example.net,+918015612752,Male,22,74.4,2.6,0,Medium,No,Marketing,8.15,4,49,0
STU_950828,Harsh Radhakrishnan,dayita53@example.com,+919414422332,Female,21,88.7,2.5,2,Medium,No,Marketing,6.06,2,7,1
STU_322290,Oliver Dara,paivrishti@example.net,+919147774839,Female,20,83.2,3.0,1,High,No,Marketing,8.46,8,11,1
STU_674754,Manbir Murthy,bhavya38@example.org,+919990187656,Male,18,98.2,2.0,0,Medium,No,Marketing,7.3,5,8,0
STU_358599,Ladli Devi,fkoshy@example.net,+916045864528,Female,20,86.4,8.8,0,High,No,HR,6.7,4,6,1
STU_107026,Yashodhara Comar,ghoshgaurav@example.net,+916219589804,Female,21,93.2,2.2,1,Low,No,Marketing,7.61,2,22,0
STU_350116,Darsh Dave,babuyagnesh@example.org,+916579113775,Male,18,91.4,9.1,0,Medium,No,HR,7.81,2,13,0
STU_639916,Janaki Bala,chanakya75@example.org,+918863744782,Male,18,79.7,5.0,0,Medium,No,HR,8.0,9,13,0
STU_415410,Janaki Soman,ykarnik@example.com,+919899655676,Male,19,90.5,2.4,0,Low,No,Marketing,5.0,5,47,0
STU_695609,Advik Nigam,oeshisarna@example.com,+916765821181,Male,22,80.9,1.6,0,Low,No,HR,7.62,3,38,0
STU_272677,Ishanvi Sarna,dinbrinda@example.net,+916464111406,Female,20,79.4,1.2,1,Medium,No,HR,7.71,4,45,1
STU_413519,Damyanti Vala,gchoudhry@example.com,+916994661079,Male,23,66.7,1.5,0,High,Yes,Marketing,6.94,6,29,1
STU_517704,Chaaya Chatterjee,ayushmanboase@example.com,+916371201165,Female,22,88.4,8.5,0,High,No,Marketing,8.21,4,27,0
STU_740759,Chanchal Menon,karpeoscar@example.org,+918932093441,Male,19,89.4,2.2,0,Medium,Yes,HR,6.12,4,46,0
STU_626684,Chasmum Comar,bhegde@example.com,+918177268688,Male,21,81.1,3.5,0,Medium,No,Marketing,6.6,5,30,0
STU_995981,Anvi Guha,voraanmol@example.com,+916437129502,Female,21,88.5,1.3,1,Medium,No,HR,7.24,8,42,0
STU_733242,Alka Baria,yahviray@example.net,+918603426092,Male,23,82.8,3.3,0,Medium,No,Marketing,8.09,9,39,0
STU_151670,Barkha Rau,jmisra@example.org,+916627291224,Male,18,69.7,1.4,0,Medium,No,Marketing,6.64,1,40,1
STU_745801,Faqid Talwar,zachariachaaya@example.com,+919366852740,Female,22,90.0,3.7,0,Medium,No,HR,6.2,6,40,1
STU_261044,Vasatika Contractor,samaksh76@example.org,+919094322255,Male,21,69.4,4.0,0,High,No,Marketing,5.71,3,5,0
STU_757433,Upadhriti Badami,wray@example.org,+917655374386,Female,23,77.8,5.9,0,Medium,No,Marketing,6.66,5,49,1
STU_484792,Patrick Murty,jpandya@example.net,+918765399617,Female,22,55.7,4.6,0,Low,No,Marketing,8.31,2,11,1
STU_488461,Megha Chadha,hardik44@example.org,+918955685376,Female,21,90.4,3.0,0,High,No,HR,6.9,8,6,1
STU_208776,Damini Goel,chokshifinn@example.net,+917153006985,Male,23,87.6,7.5,1,Medium,No,HR,6.96,8,41,1
STU_713464,Anirudh Gopal,sanayadara@example.com,+919004511955,Female,22,94.3,1.9,0,Low,Yes,HR,7.56,2,17,0
STU_766209,Damyanti Menon,calebpatla@example.net,+918867814715,Female,22,79.3,3.7,1,Medium,No,Marketing,5.61,2,47,0
STU_613988,Wahab Sidhu,achaudhary@example.net,+917056622807,Male,23,68.6,2.2,0,High,Yes,HR,6.93,7,7,0
STU_335889,Anjali Maharaj,ladomaja@example.org,+917876532853,Male,20,80.6,4.3,0,Medium,No,HR,7.5,6,21,0
