student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,department,cgpa,project_score,coding_skills,dropout_status
STU_716602,Gautami Shetty,zinalnatarajan@example.org,+916267803263,Male,23,74.5,3.0,0,Medium,No,ME,8.58,60,2,0
STU_225751,Baghyawati Bumb,nikita59@example.org,+918119586982,Male,18,65.4,4.3,0,High,No,EC,5.57,61,6,0
STU_416189,Bhavika Mandal,oganguly@example.com,+916279865738,Male,23,91.1,7.1,0,Medium,No,CS,6.56,48,9,0
STU_900997,Lopa D’Alia,sbath@example.com,+918586021047,Male,18,95.0,1.2,0,Medium,No,CS,7.4,58,8,0
STU_305673,Eshana Karnik,shravyarout@example.net,+917981307915,Male,23,82.9,2.8,0,Medium,No,CS,6.68,59,4,0
STU_396577,Yamini Bhat,samarthacharya@example.com,+916295926741,Male,20,75.2,5.2,0,Medium,No,CS,5.49,47,8,0
STU_349158,Robert Nadkarni,girish49@example.org,+916213273708,Male,22,82.6,4.7,1,Low,No,ME,7.34,38,8,0
STU_969702,Hiral Batta,ubikasengupta@example.org,+918403575912,Male,20,89.6,4.5,0,Medium,No,EC,7.88,89,8,0
STU_715741,Rehaan Chaudhary,pushtijayaraman@example.net,+917120111553,Female,21,79.7,4.6,0,Medium,Yes,CS,8.57,37,7,0
STU_300664,Rajeshri Prakash,dalbirpingle@example.net,+916730027793,Male,22,66.6,1.1,0,High,No,CS,6.8,22,3,1
STU_573086,Amara Naik,mitterchakradev@example.com,+917645908420,Female,18,67.9,3.3,0,High,No,CS,6.47,20,8,0
STU_677694,Kala Toor,xchatterjee@example.com,+916843804316,Male,21,87.1,1.2,0,Medium,No,EC,5.43,64,4,0
STU_680146,Leela Mital,sarthak31@example.org,+919304570185,Female,19,89.3,4.0,0,Medium,No,EC,9.46,65,5,0
STU_117905,Saumya Sangha,qabilbhatia@example.net,+919675355480,Female,20,82.0,0.6,0,High,No,CS,8.08,23,4,0
STU_698995,Faras Sura,mugdhabains@example.com,+917300443316,Male,22,92.1,3.2,2,High,Yes,ME,5.97,41,7,0
STU_440717,Rajata Hayre,oranganathan@example.com,+918813893783,Female,18,93.6,4.8,0,Medium,No,ME,4.0,99,8,0
STU_108641,Yashodhara Nadig,bahadurjit81@example.org,+917980569678,Male,20,90.5,6.7,0,Medium,No,ME,6.77,64,8,0
STU_400023,Ishaan Venkatesh,ishwar57@example.org,+916440524864,Female,20,65.0,5.3,1,High,Yes,ME,8.55,85,9,0
STU_407593,Bhavani Bhatia,guneet95@example.org,+916970732711,Female,22,95.9,6.3,0,High,No,ME,7.4,25,7,0
STU_387689,Lakshit Kuruvilla,barkhachander@example.net,+918694902016,Female,20,90.0,2.4,0,High,No,CS,6.76,97,7,0
STU_250763,Ishani Lala,llad@example.com,+917357600316,Male,19,94.0,9.2,1,Low,Yes,ME,5.94,36,1,1
STU_128451,Jonathan Mammen,rauonveer@example.com,+916893817010,Female,20,85.4,3.8,0,High,No,CS,5.68,48,1,0
STU_732520,Nathaniel Edwin,aadhyachand@example.net,+919585233980,Female,20,82.6,5.5,2,High,No,CS,8.6,65,4,0
STU_287623,Amruta Sama,tsunder@example.net,+916264778303,Male,20,88.7,2.7,1,Medium,No,ME,6.21,95,3,0
STU_530567,Nikita Bera,hitesh73@example.org,+918358819368,Male,19,71.7,10.6,0,High,No,CS,7.05,44,7,0
STU_756803,Aayush Ahluwalia,sarafshivansh@example.org,+919829546560,Male,21,88.5,2.5,0,High,No,ME,7.36,68,6,0
STU_737144,Ubika Goda,balayaahana@example.net,+917922194994,Female,22,74.7,4.0,0,High,No,ME,6.36,76,4,1
STU_255619,Warinder Shukla,shuklatriya@example.net,+916114348687,Female,22,96.7,2.4,0,Medium,No,EC,5.91,52,6,0
STU_643395,Nathaniel Venkatesh,vohraisaac@example.net,+916934532122,Female,20,63.1,5.2,0,High,No,EC,7.98,50,1,0
STU_390067,Peter Ben,karpeosha@example.org,+917989297735,Female,23,79.7,1.5,1,Medium,No,CS,5.86,94,4,1
STU_366866,Nathaniel Kaur,hkibe@example.org,+916724468161,Male,20,81.3,7.5,0,High,No,ME,8.11,22,2,0
STU_220178,Chandresh Bail,samueljaggi@example.org,+916649692555,Male,18,65.4,3.0,1,High,No,CS,6.56,96,7,1
STU_834432,Vasana Bhatnagar,manya36@example.org,+919896232027,Female,18,97.6,6.7,1,High,No,CS,7.7,81,7,0
STU_220140,Harrison Char,dategayathri@example.org,+918729910061,Male,20,71.9,8.5,0,High,No,CS,6.48,31,1,0
STU_848881,Bakhshi Barad,ishaan70@example.net,+919801230414,Male,19,93.1,3.8,0,Medium,No,EC,7.07,47,6,0
STU_574796,Baljiwan Sinha,omdayita@example.org,+916902442712,Female,23,78.6,2.5,0,Medium,No,EC,5.08,74,9,0
STU_701627,Hamsini Loyal,trivediwarjas@example.com,+918814998562,Male,19,90.6,10.6,0,High,Yes,CS,5.43,44,2,0
STU_657624,Yashoda Keer,ucchal94@example.com,+917899488860,Female,19,89.8,5.0,0,Medium,Yes,ME,5.38,38,7,0
STU_424946,Vidhi Magar,bordeekavir@example.net,+918322399696,Male,23,73.2,2.8,1,High,Yes,EC,6.11,92,1,0
STU_937437,Saumya Sen,chandranbala@example.com,+917383681834,Female,18,94.7,2.9,0,High,No,ME,4.6,54,8,0
STU_122328,Chaitanya Parikh,hiteshsachar@example.org,+919649948478,Female,22,92.0,3.9,0,Low,Yes,EC,6.27,88,2,0
STU_196511,Damini Shroff,rachana02@example.org,+918445210883,Female,21,88.1,3.6,0,Medium,No,CS,6.71,58,4,0
STU_986782,Anusha Dhaliwal,nazarethupma@example.com,+916962403841,Female,21,67.1,0.6,0,High,No,EC,6.08,34,4,0
STU_998210,Naveen Natarajan,wazirchar@example.net,+918154914928,Male,23,92.3,5.9,0,High,No,CS,5.25,48,8,0
STU_823825,Zashil Agate,azaanchoudhary@example.com,+917764338706,Male,19,89.9,2.7,0,Low,No,CS,6.65,41,3,0
STU_240994,Kavya Oak,brahmbhattpeter@example.org,+918700133755,Female,18,92.6,6.8,0,Medium,No,EC,9.24,88,2,0
STU_551316,Nidra Srinivasan,nattchatresh@example.org,+916425740327,Male,21,75.2,2.3,0,Medium,No,ME,8.68,81,1,0
STU_899924,Yutika Anand,golavictor@example.org,+916624253322,Female,18,86.8,5.5,1,Medium,No,CS,5.83,82,7,0
STU_715037,Hiral Arya,nmorar@example.net,+917207297673,Female,23,72.5,2.9,0,Medium,No,CS,5.39,44,7,0
STU_871252,Reyansh Sarma,usinha@example.org,+918068489210,Female,23,89.5,5.4,0,Medium,No,CS,8.79,69,4,0
STU_408205,Chakradev Karpe,balabhavani@example.net,+918390690881,Male,18,82.4,4.7,0,Medium,No,CS,7.92,40,6,0
STU_929459,Mitesh Shanker,leenasolanki@example.com,+916145070678,Female,21,95.4,0.9,0,Medium,No,EC,7.91,81,1,0
STU_492635,Naksh Mitter,ganesanrehaan@example.org,+916814296786,Female,20,72.9,1.6,0,Low,No,CS,4.48,87,2,0
STU_270822,Ayaan Kurian,urmighosh@example.net,+916974362474,Female,22,86.8,3.2,0,Low,No,ME,6.26,92,2,0
STU_480778,Mohammed Sengupta,ikshitadhillon@example.org,+918837504835,Male,22,68.3,2.2,0,High,No,ME,6.51,63,6,0
STU_894232,Caleb Jani,yochana29@example.net,+919575743140,Female,23,93.2,1.6,0,Medium,Yes,ME,7.63,27,5,0
STU_277066,Simon Butala,karanvansha@example.com,+917483029003,Male,18,89.5,5.4,0,Medium,No,ME,4.34,88,8,0
STU_900261,Saanvi Ravi,kohlijhalak@example.net,+919513772731,Female,23,91.2,7.3,1,Low,No,ME,4.0,58,5,0
STU_391305,Vrishti Lad,chameligandhi@example.org,+918988114130,Male,23,95.3,2.7,1,High,No,EC,5.5,27,6,1
STU_716568,Diya Gupta,snehasen@example.net,+918264730192,Male,22,92.1,6.0,0,Low,No,EC,8.21,69,2,0
STU_949885,Omisha Rana,ekbal31@example.net,+917162215393,Female,20,61.5,2.2,0,High,No,ME,6.15,71,4,0
STU_573797,Anika Doshi,gbasak@example.org,+917384626316,Male,23,87.1,1.8,1,High,No,CS,5.54,46,1,1
STU_954800,Amrita Bhargava,vedika85@example.com,+918815719352,Female,23,86.2,3.5,1,Low,Yes,EC,5.54,99,4,0
STU_532835,Robert Gill,chhabrasamarth@example.org,+917896697113,Female,18,95.8,5.0,1,Medium,No,ME,7.67,89,3,0
STU_419678,Chakradhar Tank,madhavidas@example.org,+919225909886,Male,23,85.6,1.4,0,Medium,No,CS,5.86,47,4,0
STU_654187,Chatura Deshpande,rajusneha@example.net,+918436317884,Male,21,96.1,2.2,0,Medium,No,ME,8.44,34,5,0
STU_331197,Raksha Ranganathan,bhattacharyyahemal@example.com,+916990209715,Male,23,93.9,4.5,0,Low,Yes,EC,6.49,74,4,0
STU_412521,Urvi Krish,hgokhale@example.net,+918611155987,Male,23,78.5,4.6,1,High,No,EC,8.17,76,9,0
STU_790985,Kiaan Deol,savantchakradhar@example.com,+919785869651,Male,18,77.6,6.0,0,Medium,No,EC,8.03,52,4,0
STU_306048,Pratyush Borah,charvi17@example.org,+918945250268,Female,18,77.4,7.7,0,Medium,Yes,EC,6.16,71,6,0
STU_766891,Jai Lall,savantelijah@example.com,+918481204165,Female,19,82.1,1.3,0,Medium,No,EC,8.39,94,5,0
STU_330303,Rushil Dasgupta,ikhosla@example.com,+917248754595,Male,19,92.4,6.3,0,Low,No,EC,7.87,30,1,0
STU_532766,Ekalinga Shroff,tprabhu@example.net,+918229099283,Male,21,91.6,5.2,0,High,No,CS,7.66,28,7,0
STU_773661,Leena Zachariah,sameshlata@example.net,+917309100778,Male,22,91.3,4.2,0,High,No,EC,6.15,37,9,0
STU_250321,Bhavna Issac,cgaba@example.com,+917504068192,Male,23,89.7,11.8,0,Medium,No,ME,6.96,73,9,0
STU_320125,Ria Mitra,knatarajan@example.net,+918298938210,Female,21,49.7,4.7,1,Low,No,CS,5.81,63,5,1
STU_640001,Krishna Hans,nagypavani@example.org,+917522031678,Female,22,69.7,2.9,0,Medium,Yes,ME,8.23,22,2,0
STU_780365,Ekanta Bajwa,gavinchadha@example.org,+918637830731,Male,19,82.1,2.7,0,Medium,No,EC,9.11,50,1,0
STU_947102,Pranav Bail,karrehaan@example.net,+919283727432,Female,21,88.1,10.0,0,Low,No,CS,6.24,64,9,0
STU_260253,Keya Vig,rkamdar@example.net,+919284748329,Female,21,79.9,3.5,1,High,No,EC,7.55,99,2,0
STU_189144,Harshil Chatterjee,vaishnavibandi@example.org,+918947383559,Male,22,83.9,14.0,0,High,No,CS,8.5,20,7,0
STU_880208,Hiral Gole,gaurikara@example.org,+916759526189,Female,22,96.7,0.4,1,Low,No,CS,9.17,74,9,0
STU_881166,Onveer Wali,ybandi@example.com,+918851977708,Female,20,93.1,3.1,0,Low,No,EC,7.96,53,3,0
STU_999348,Chandresh Rao,sidhuadvika@example.net,+916290532015,Male,19,76.1,4.7,0,Medium,No,CS,6.54,51,4,0
STU_434414,Oviya Divan,dmurthy@example.com,+918847154185,Male,18,70.2,0.5,0,High,No,EC,6.58,38,8,0
STU_886572,George Comar,keernathan@example.com,+917386860196,Male,19,67.4,5.2,0,High,No,ME,5.19,52,6,0
STU_387078,Manya Sur,gaurangi72@example.com,+916950337201,Male,20,94.6,4.4,2,Low,No,ME,6.58,34,5,0
STU_876058,Yagnesh Oak,sathviknanda@example.org,+916101982827,Female,21,90.8,12.8,0,High,Yes,ME,6.19,21,1,0
STU_150476,Hritik Bora,vpradhan@example.com,+916861449590,Male,20,98.4,2.2,0,Medium,No,EC,9.02,48,5,0
STU_679849,Unni Bakshi,kashishdin@example.com,+919912757311,Male,23,93.8,2.0,1,Medium,No,ME,5.46,96,9,0
STU_516250,Saksham Gulati,psule@example.org,+919661427846,Male,22,95.8,6.1,0,Medium,No,EC,8.23,36,4,0
STU_273772,Anamika Subramanian,azaan32@example.net,+916193258119,Male,23,91.2,1.3,1,High,No,EC,7.56,56,5,0
STU_876267,Wahab Nagy,suhanikonda@example.net,+917478915831,Female,21,95.1,2.5,0,Medium,No,EC,5.28,91,5,0
STU_161111,Dhruv Gera,benjamin65@example.net,+917756740965,Female,18,86.5,6.2,0,Low,No,CS,5.78,24,8,0
STU_918070,Qasim Wable,kbabu@example.org,+919154059887,Male,21,71.1,4.2,1,High,No,CS,6.74,87,3,0
STU_207023,Idika Khalsa,bhavya18@example.org,+916775824212,Male,23,45.7,4.4,0,High,No,EC,4.0,47,6,0
STU_790769,Zarna Majumdar,dahuja@example.org,+917639932416,Female,23,74.4,3.6,1,Low,No,EC,8.63,69,9,0
STU_444470,Arya Soni,riazacharia@example.com,+917584480867,Female,20,95.1,3.4,0,Medium,No,EC,8.04,48,8,0
STU_875731,Qarin Grewal,chasmumbaria@example.com,+918265862437,Female,18,93.0,5.3,1,Medium,No,EC,5.53,74,1,0
STU_352034,Jagrati Lalla,watika73@example.com,+917531148818,Male,20,87.9,4.3,1,Medium,No,EC,7.45,93,7,0
STU_634823,Hamsini Goyal,shankerhema@example.com,+917005177736,Female,23,90.8,7.9,1,Medium,Yes,ME,6.29,78,4,0
STU_308588,Rajeshri Master,osingh@example.org,+919652577455,Female,20,82.1,11.2,0,High,No,EC,7.25,96,3,0
STU_432367,Nidhi Som,oscarvasa@example.org,+918673158463,Female,21,93.5,9.4,0,Low,No,ME,7.08,47,8,0
STU_457871,Sai Samra,diyagill@example.org,+917570708688,Female,22,83.9,1.7,0,High,No,ME,6.27,64,8,0
STU_520842,Ekaraj Pathak,orinder00@example.com,+916632996628,Female,19,85.4,3.8,1,Medium,No,EC,6.2,31,5,0
STU_142801,Chakradev Sanghvi,aggarwaltejas@example.com,+916885473428,Female,21,90.6,1.6,1,Medium,Yes,ME,5.57,32,6,0
STU_613427,Ira Suri,gopalwalla@example.com,+918926080951,Female,21,90.1,1.0,0,Medium,No,ME,6.13,24,9,0
STU_869336,Yoshita Mohanty,dhruv12@example.org,+916921722112,Female,23,93.6,2.0,0,High,No,ME,8.49,47,9,0
STU_396142,Yagnesh Datta,itripathi@example.com,+916672992075,Male,20,72.1,2.0,0,High,Yes,CS,10.0,54,7,0
STU_794362,William Sharma,amaraganguly@example.com,+917932267698,Female,19,70.0,6.5,0,High,No,ME,6.06,98,2,0
STU_728794,Janani Ratti,shankerhemal@example.com,+918227075517,Female,19,83.3,1.4,0,Low,No,ME,4.46,54,5,0
STU_816855,Diya Sarma,dominic08@example.com,+916707570973,Female,20,80.8,4.3,1,Medium,No,EC,9.09,63,7,0
STU_381006,Abhimanyu Bhavsar,lghosh@example.com,+919533026960,Male,22,96.4,2.2,0,Medium,No,ME,7.19,50,5,0
STU_296577,Lajita Pingle,wardadugal@example.org,+916763105650,Female,21,91.4,4.6,0,High,No,ME,6.62,46,2,0
STU_501790,Xiti Sheth,varenyabalasubramanian@example.org,+919210975384,Female,22,99.5,0.5,0,High,No,ME,8.57,91,3,0
STU_682221,Aadhya Sem,lcontractor@example.net,+918657277220,Male,21,83.4,1.1,0,Low,No,ME,5.55,94,3,0
STU_314904,Nitara Das,bimaladalia@example.org,+916801383258,Female,21,88.2,6.4,0,Medium,No,CS,6.61,26,2,0
STU_544714,Anirudh Sama,sanghavedika@example.org,+918043207610,Male,21,93.6,1.8,2,Medium,No,CS,7.35,34,6,0
STU_949665,Triveni Sibal,inayaloke@example.org,+917987376727,Male,21,68.0,2.4,0,Low,No,ME,4.91,42,5,1
STU_849610,Wridesh Lala,ladli65@example.com,+919989879277,Male,21,67.7,6.7,0,Medium,No,CS,8.36,93,6,0
STU_156435,Nitesh Om,snaidu@example.org,+916160849580,Male,22,77.9,0.8,0,Medium,No,CS,7.56,21,5,1
STU_818969,Tanveer Sathe,gayathri35@example.net,+916026957360,Male,21,86.4,0.8,1,Medium,Yes,ME,5.62,75,7,0
STU_567620,Jeremiah Jhaveri,inaidu@example.org,+918713523795,Male,23,59.8,8.3,0,High,No,CS,6.02,29,9,0
STU_537245,Darpan Parmer,balvanmemon@example.net,+916768212127,Female,22,68.6,2.1,0,High,No,CS,7.91,77,2,0
STU_851962,Omya Divan,wriddhish00@example.org,+916293187168,Male,18,90.0,2.3,0,High,No,CS,8.79,35,4,0
STU_650168,Wahab Garde,benjeevika@example.com,+916144407209,Male,23,87.7,2.7,0,Low,No,ME,5.16,25,3,0
STU_395179,Shivani Saha,gautami52@example.com,+917866543724,Female,22,74.9,6.9,0,Low,No,EC,8.84,67,2,0
STU_890827,Chandresh Naidu,ldara@example.net,+919566465379,Male,23,90.5,4.0,1,Medium,No,ME,7.59,20,8,0
STU_379941,Damyanti Patil,zaidvarughese@example.org,+918192936364,Male,23,96.9,5.2,0,Medium,No,ME,8.02,65,6,0
STU_324790,Udyati Varma,bandiabeer@example.com,+919664657532,Male,23,95.6,4.2,0,Low,No,ME,7.39,93,4,0
STU_766418,Avni Soman,jagvimandal@example.org,+916766068468,Male,19,87.4,4.6,0,Medium,No,EC,6.32,84,5,0
STU_453390,Hemal Manda,jbail@example.net,+919900201309,Male,23,80.6,3.7,1,Low,No,EC,8.19,70,9,0
STU_396049,Gavin Lad,gopalbrar@example.com,+919240100120,Female,21,92.5,2.8,0,High,No,EC,6.99,83,3,0
STU_862980,Kamala Kashyap,ishitabanerjee@example.net,+917819347318,Male,22,81.5,4.0,0,High,No,ME,10.0,27,2,0
STU_200848,Mohammed Arora,chandani78@example.com,+919714254690,Male,23,83.6,3.5,1,Medium,No,CS,6.84,73,1,1
STU_159576,Advika Patla,xmagar@example.net,+916777401020,Male,20,93.4,7.4,0,High,No,CS,6.88,34,9,0
STU_657958,Wakeeta Khanna,umitra@example.net,+919239774853,Male,22,70.3,6.4,0,Medium,Yes,EC,7.95,81,2,0
STU_450626,Aarav Hans,chasmumsetty@example.com,+916608240088,Female,20,92.5,4.5,0,Medium,No,ME,6.56,26,7,0
STU_961077,Rehaan Swaminathan,fkar@example.com,+916700193445,Male,23,89.1,6.0,0,Medium,No,CS,6.46,67,3,0
STU_237817,Vansha Vaidya,utkarsh13@example.org,+916322349621,Male,21,84.2,8.5,0,Medium,No,EC,8.38,37,1,0
STU_236050,Tara Bose,sastrymason@example.net,+919184155567,Male,22,90.0,3.5,1,High,Yes,ME,6.46,83,2,0
STU_312101,Ikbal Nair,chandranrajan@example.net,+917251683553,Female,19,86.8,3.1,1,Low,No,CS,7.21,96,5,0
STU_150786,Gautami Bajwa,abeer55@example.net,+916374479626,Female,19,78.4,1.8,0,Low,No,EC,9.05,48,7,0
STU_218943,Fitan Mammen,aryanwagle@example.org,+917646386425,Female,18,85.9,3.4,0,High,Yes,ME,5.85,37,1,1
STU_547053,Omaja Gala,msodhi@example.com,+917478106475,Female,19,95.1,1.5,0,High,No,EC,5.82,52,8,0
STU_612216,Ubika Chawla,maanasdass@example.net,+916678066572,Male,21,86.5,3.2,0,Medium,No,ME,7.95,49,2,0
STU_227974,Maya Bali,horaayush@example.net,+916306837520,Male,22,62.7,1.2,1,Low,No,EC,7.39,22,8,0
STU_955956,Nimrat Bandi,chamanzachariah@example.net,+916853626571,Male,19,67.4,1.6,1,Low,No,EC,6.86,64,3,0
STU_342526,Saanvi Dubey,stata@example.org,+919173774608,Female,19,85.0,9.7,0,Medium,No,ME,5.77,67,4,0
STU_500067,Aishani Sharaf,sahninirja@example.org,+917182885392,Female,21,92.7,0.5,0,Medium,No,CS,8.29,34,9,0
STU_733261,Sanaya Rama,amaira28@example.com,+919437068497,Female,18,85.9,4.5,0,Medium,Yes,ME,6.14,75,8,0
STU_837813,Netra Prasad,jdewan@example.net,+918821193658,Female,19,98.0,3.9,0,Low,No,EC,9.12,87,7,0
STU_227561,Kashish Jhaveri,onkarbhatnagar@example.net,+917677355430,Female,18,75.3,4.8,0,Low,No,EC,8.54,53,6,0
STU_483901,Edhitha Joshi,kkorpal@example.com,+918687055746,Male,23,64.1,1.3,1,High,Yes,EC,4.0,93,8,1
STU_717221,Gaurangi Kar,fiyaz87@example.com,+916841125399,Male,18,89.5,3.6,0,High,Yes,EC,5.28,46,6,0
STU_290335,Anika Narang,knarasimhan@example.net,+916198149416,Male,22,58.2,4.9,0,High,Yes,CS,6.55,46,5,0
STU_186946,Wriddhish Pai,ydora@example.com,+919023415485,Male,20,84.0,0.7,1,Low,No,CS,6.57,53,8,0
STU_854725,Yuvraj Lala,ekansh90@example.org,+916453173728,Male,18,80.6,3.2,1,Medium,No,EC,5.47,93,5,0
STU_262130,Upadhriti Venkatesh,xshan@example.org,+919971065625,Female,22,78.0,6.4,1,Medium,No,ME,8.02,84,7,0
STU_277455,Irya Halder,chackovidhi@example.com,+917493931161,Female,23,90.8,8.8,1,High,No,ME,9.82,62,9,0
STU_286844,Omisha Sanghvi,prisha58@example.net,+918674223944,Female,22,77.5,5.5,0,High,Yes,CS,6.67,68,9,0
STU_377725,Yashvi Bhatnagar,anjalijha@example.org,+917490653209,Male,22,80.0,5.0,0,High,No,ME,8.17,64,7,0
STU_817021,Siddharth Minhas,ysankaran@example.net,+916346094815,Female,20,84.9,4.9,0,High,No,EC,7.57,29,9,0
STU_548734,Manthan Patla,kamdarthomas@example.com,+917413531982,Female,18,89.7,3.4,0,Medium,No,CS,5.31,64,5,0
STU_608355,Aarush Sampath,anvi60@example.com,+916106188531,Female,22,85.4,4.0,0,High,No,EC,9.68,22,7,0
STU_829321,Kevin Dasgupta,rgoel@example.com,+916716781979,Female,23,60.1,7.3,0,Medium,No,ME,4.51,44,5,0
STU_448622,Liam Narasimhan,malldarsh@example.org,+916973703874,Male,19,76.7,0.8,0,Medium,No,CS,6.72,54,5,0
STU_891341,Rajata Kari,vshan@example.org,+919394910933,Male,23,88.9,4.6,1,High,Yes,EC,5.88,40,4,0
STU_497784,Lajita Dhingra,sameshmann@example.com,+917836750502,Male,18,78.1,1.5,1,Low,No,ME,7.86,20,3,0
STU_202071,Falan Sur,raksha48@example.org,+918991743965,Female,22,71.9,3.8,0,High,No,CS,6.24,42,2,0
STU_954456,Dalbir Roy,zayan42@example.org,+919100263736,Male,20,84.7,13.4,0,Medium,No,EC,7.28,83,1,0
STU_824556,Jeevika Apte,jackdeshmukh@example.org,+916010062903,Female,19,90.9,5.3,0,Medium,No,ME,6.29,96,9,0
STU_278214,Pavani Oommen,warinderseshadri@example.com,+916901030451,Male,20,97.0,6.1,0,Medium,No,CS,7.48,46,5,0
STU_330139,Yasti Kuruvilla,dasomaja@example.net,+919723479160,Female,20,92.3,5.0,0,Medium,No,EC,7.66,65,6,0
STU_315531,Kritika Varty,hemani07@example.com,+916715710557,Male,20,85.4,4.1,1,Low,No,EC,5.95,34,2,0
STU_130243,Diya Das,hcherian@example.net,+917588125349,Male,18,92.4,4.0,1,High,Yes,CS,9.75,41,4,0
STU_262745,Shaurya Master,ubika60@example.net,+918908558074,Male,23,61.7,5.8,2,High,No,CS,9.3,38,6,0
STU_804165,Viraj Oak,jagratibath@example.net,+917583294014,Female,20,89.6,8.0,1,Low,No,EC,5.98,29,5,0
STU_309745,Samaksh Chander,ireddy@example.org,+916770029139,Male,19,62.7,10.5,0,High,No,ME,5.41,34,3,0
STU_663843,Abhimanyu Soman,pallomaja@example.org,+917686502913,Male,18,84.5,3.2,0,High,Yes,EC,6.48,66,5,0
STU_278622,Vivaan Panchal,shroffom@example.net,+919517315770,Female,21,81.8,4.7,0,High,No,EC,9.88,41,9,0
