student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,course_stream,cgpa,audit_hours,law_score,dropout_status
STU_582646,Kashish Misra,anirudh61@example.org,+919243221751,Male,19,85.1,4.5,0,Medium,Yes,B.Com,7.34,60,66,0
STU_544859,Megha Sangha,dbhargava@example.com,+918310179721,Female,23,78.0,4.1,0,High,No,CA,4.0,160,37,0
STU_865507,Upkaar Hans,daniel29@example.net,+916082053905,Female,19,73.1,10.5,0,Medium,No,CA,6.99,325,48,1
STU_317138,David Sodhi,kevinsuri@example.net,+917301874533,Male,19,88.8,11.3,0,Medium,No,B.Com,6.96,263,93,0
STU_603258,Lavanya Barad,gluthra@example.net,+917022718711,Male,18,67.8,4.6,0,High,No,CA,7.15,109,41,0
STU_435294,Jairaj Murthy,kalitamanbir@example.com,+916853525441,Female,23,83.7,3.3,0,Medium,No,CA,6.24,113,69,0
STU_408347,Udarsh Chahal,paufaqid@example.net,+917172084455,Female,19,84.5,7.6,0,High,No,B.Com,4.59,188,42,0
STU_340877,Parth Gulati,sai81@example.com,+917029553598,Female,22,71.7,3.4,1,Low,No,B.Com,5.79,401,98,0
STU_337021,Harish Lad,charitajhaveri@example.net,+916644202793,Male,23,90.3,3.2,0,Medium,No,B.Com,7.43,245,33,0
STU_996849,Krish Joshi,ekapadchaudry@example.net,+919815129774,Male,19,81.6,5.8,0,High,No,B.Com,7.54,256,43,0
STU_267429,Darsh Balan,aryanseshadri@example.net,+917912863651,Female,20,81.6,3.0,0,Medium,No,B.Com,7.03,364,66,0
STU_613623,Qushi Pandit,lmorar@example.org,+919273646281,Male,18,73.1,4.7,1,High,No,B.Com,9.07,334,86,0
STU_770155,Vidhi Sekhon,fiyazsinha@example.com,+917571183618,Male,18,78.3,2.4,1,Low,No,CA,7.58,245,63,0
STU_229545,Yahvi Dhawan,zaidnori@example.org,+918694790386,Male,22,84.9,3.3,0,High,Yes,CA,5.49,55,31,1
STU_438833,Ijaya Sem,reyanshoza@example.com,+919918466290,Female,22,89.1,3.5,0,High,No,CA,7.03,19,51,1
STU_348180,Samuel Magar,dayaloviya@example.net,+916395513265,Female,18,83.7,5.2,0,Medium,Yes,B.Com,7.44,240,75,1
STU_782825,Wazir Kadakia,mammennathan@example.net,+916413842624,Male,19,68.1,5.6,0,Medium,No,CA,9.38,65,97,0
STU_538536,Aarnav Wadhwa,aayushpalan@example.com,+919844877857,Female,23,87.9,2.6,0,Low,Yes,B.Com,4.97,243,44,1
STU_729769,Anita Ram,pandeywishi@example.com,+919579341881,Female,21,87.9,13.0,0,Medium,No,CA,8.38,213,57,0
STU_871323,Pratyush Dada,pantbaljiwan@example.com,+916962903130,Male,18,69.3,1.0,1,Medium,Yes,B.Com,7.61,406,63,1
STU_365370,Janaki Ravi,sanya73@example.com,+919039565665,Female,21,89.7,5.1,0,High,Yes,B.Com,6.88,8,34,0
STU_203430,Turvi Choudhary,lilawalla@example.org,+919000734772,Female,19,66.5,9.5,0,Low,Yes,CA,4.0,451,54,0
STU_255996,Vedika Wable,guhagopal@example.org,+918119808854,Female,22,82.4,3.9,1,High,No,B.Com,6.89,116,69,0
STU_534908,Chandani Ramachandran,fsodhi@example.net,+919528534083,Female,23,86.0,3.7,0,Medium,No,CA,7.24,217,84,0
STU_473260,Sanaya Krishna,bdhar@example.com,+918048350372,Male,21,90.2,3.3,0,Medium,No,B.Com,6.54,388,66,1
STU_450073,Farhan Soman,fiyaz95@example.com,+916493423712,Female,19,94.3,3.2,0,Medium,No,B.Com,6.65,330,59,1
STU_858888,Advik Anand,imaran17@example.com,+917270337990,Female,22,67.7,4.4,1,Low,No,CA,7.58,480,96,0
STU_731588,Mitali Vohra,chopratejas@example.net,+917867360080,Female,23,67.9,3.3,0,Medium,No,CA,7.5,301,70,0
STU_727102,Janya Khanna,wagledaksha@example.com,+918905076391,Female,19,98.7,9.0,0,Low,No,B.Com,6.64,247,41,0
STU_801376,Aadi Kakar,isha@example.com,+918836596504,Female,18,83.3,1.6,0,High,No,CA,7.9,205,39,1
STU_979555,Jalsa Basak,upillay@example.net,+919591893201,Female,22,74.8,1.8,0,Medium,No,CA,6.28,96,97,0
STU_413893,Girik Chakraborty,hkohli@example.com,+917777471928,Male,20,79.1,4.2,0,Medium,No,B.Com,7.55,72,37,1
STU_798407,Lila Kanda,yahvi36@example.org,+918758189855,Male,18,89.9,3.8,0,Low,Yes,B.Com,7.06,319,45,1
STU_350628,Patrick Dey,dingirish@example.com,+918176341433,Female,23,72.9,2.4,1,Medium,No,B.Com,7.21,216,50,1
STU_524596,Ekapad Divan,hnayak@example.net,+916589781276,Female,21,95.7,6.2,1,Low,Yes,B.Com,8.26,311,86,1
STU_290027,Umang Andra,chhabraati@example.com,+916246428909,Female,19,80.5,2.2,0,Medium,No,CA,7.07,431,96,0
STU_315886,Omisha Om,khatribrinda@example.net,+917875191888,Female,21,83.2,1.2,1,Medium,No,B.Com,9.17,304,82,1
STU_499218,Tanmayi Jayaraman,comarchameli@example.com,+917772745681,Male,22,70.6,6.4,0,Medium,No,CA,6.49,458,41,1
STU_314335,Jasmit Contractor,keya70@example.org,+919953992136,Female,21,41.3,2.1,0,Medium,Yes,B.Com,4.0,103,81,0
STU_372821,Anita Sule,jairaj07@example.net,+919620307795,Male,23,96.2,6.2,0,High,No,CA,9.7,44,49,0
STU_428669,Orinder Tandon,rachitloyal@example.net,+918486336012,Male,20,82.6,4.7,0,High,No,B.Com,7.45,380,85,0
STU_928390,Luke Natarajan,bimalaravel@example.org,+917650275834,Male,22,87.8,6.9,0,High,Yes,CA,7.23,431,30,0
STU_685440,Naveen Deshpande,georgebhavsar@example.net,+916813121516,Male,19,77.3,1.6,0,High,Yes,CA,7.41,499,57,1
STU_505375,Eshana Desai,avinaik@example.net,+918558554367,Female,23,80.4,8.0,0,Medium,Yes,B.Com,5.55,478,32,0
STU_999088,Indali Doshi,kharenaveen@example.net,+917824489792,Female,19,91.5,1.4,0,High,Yes,B.Com,8.73,375,52,0
STU_542083,Hiral Munshi,joshuamisra@example.com,+918689660074,Male,18,82.1,3.6,0,High,Yes,B.Com,7.83,223,77,0
STU_694145,Leena Kalita,varmaraagini@example.net,+918958054129,Male,18,74.1,1.4,0,High,No,CA,6.17,393,89,1
STU_900997,Harinakshi Patla,vloyal@example.org,+918995728638,Female,23,65.0,10.6,1,Medium,Yes,B.Com,7.58,151,91,0
STU_665441,Teerth Gala,pathakmaya@example.net,+918547365341,Male,19,85.6,4.8,0,Low,Yes,CA,6.29,33,84,0
STU_259430,Eesha Gopal,ikshita45@example.com,+917000838988,Male,20,99.2,3.0,0,High,No,CA,8.47,63,46,0
STU_534715,Amara Panchal,pathakpallavi@example.org,+917568793694,Male,20,94.6,6.6,0,Low,No,CA,6.96,100,64,0
STU_888946,Radha Samra,oeshiprashad@example.com,+918677907503,Female,22,91.2,4.8,0,Medium,No,B.Com,7.42,415,55,1
STU_426620,Radhika Som,dalbir53@example.org,+919952452009,Female,18,89.5,5.5,0,Medium,No,B.Com,6.39,38,80,0
STU_568931,Kavya Ghosh,zachariahazad@example.net,+918650509404,Male,19,86.1,2.8,0,Medium,No,B.Com,6.98,75,74,0
STU_868972,Warjas Brahmbhatt,gulatiadvaith@example.com,+918569984299,Male,22,91.9,9.0,0,High,No,CA,9.99,100,97,0
STU_678616,Panini Gola,dhaliwalvasudha@example.org,+917816010473,Female,19,72.7,8.7,0,Medium,No,B.Com,7.9,317,60,1
STU_269121,Nathan Ramesh,rishi72@example.org,+918517581511,Female,22,88.6,1.7,1,High,No,B.Com,7.83,254,74,1
STU_337815,Abdul Butala,udarsh96@example.org,+916908551666,Male,19,84.8,10.2,2,Medium,No,CA,5.94,51,57,1
STU_267984,Nitara Parsa,madhavibalasubramanian@example.net,+917102914142,Male,18,94.8,6.1,0,Medium,No,CA,7.89,460,92,0
STU_531318,Indrajit Chawla,bhatiaparth@example.net,+917892741683,Female,23,95.5,7.3,0,Medium,No,B.Com,8.13,407,41,1
STU_290986,Manan Ganesan,vivaan90@example.net,+916713677953,Female,22,87.1,3.8,0,Medium,No,B.Com,6.99,176,99,0
STU_112975,Alka Warrior,chakradhar46@example.com,+918644391255,Male,20,92.9,3.2,0,Medium,No,B.Com,5.83,164,47,0
STU_695368,Wishi Arya,ygrewal@example.net,+919002295438,Male,20,96.8,5.8,1,High,No,B.Com,5.34,57,75,0
STU_906381,Idika Randhawa,arin29@example.com,+918373535654,Female,20,94.8,4.2,1,High,Yes,B.Com,7.77,483,35,1
STU_294359,Janaki Mammen,krishnanadig@example.com,+917274188280,Male,20,79.9,9.1,0,Medium,No,CA,6.99,328,77,0
STU_417370,Nisha Wali,gvala@example.org,+918186748094,Female,23,83.9,11.3,1,Low,No,CA,7.17,431,98,0
STU_778192,Megha Jha,dalajaagate@example.com,+916502797069,Female,21,72.8,10.2,1,Medium,No,B.Com,4.08,53,94,0
STU_185324,Manan Batra,anjalibadal@example.net,+917762663929,Female,20,58.5,2.1,0,High,No,B.Com,7.06,302,33,0
STU_604196,Harinakshi Ratta,lukeborah@example.org,+917954714401,Female,22,83.6,2.8,0,Medium,Yes,B.Com,7.14,456,48,0
STU_161051,Qasim Mall,gchada@example.com,+918699596601,Female,18,97.2,5.5,0,High,No,B.Com,7.75,493,48,1
STU_385803,Quincy Iyengar,mangateta@example.org,+919398959800,Female,22,85.9,2.4,0,Medium,No,B.Com,7.82,405,75,0
STU_958874,Faraj Tank,ayushmansavant@example.com,+917421728957,Male,18,89.9,5.1,0,Medium,No,CA,5.83,378,48,0
STU_454849,Abdul Issac,ramakrishnanekantika@example.org,+918550895588,Male,21,97.4,6.0,1,High,Yes,B.Com,6.91,228,68,0
STU_221686,Eiravati Kurian,ladli32@example.org,+918739130935,Female,18,91.3,7.9,0,Low,No,CA,7.71,108,89,0
STU_806686,Oni Sarin,jairaj22@example.net,+919785159351,Male,21,84.7,8.9,0,Medium,Yes,CA,7.7,65,81,0
STU_606105,Udant Balakrishnan,kotharihamsini@example.com,+916482849818,Male,18,82.4,6.8,0,Medium,Yes,B.Com,5.78,434,46,1
STU_459961,Jacob Vohra,bmohan@example.net,+919788026326,Male,18,86.4,5.0,0,Medium,No,CA,7.56,158,76,0
STU_246697,Hredhaan Bhatia,vdyal@example.org,+919023326292,Male,19,75.2,3.7,1,Medium,No,CA,4.77,439,48,1
STU_812036,Barkha Dubey,wmisra@example.com,+919667943311,Female,18,81.0,7.5,0,Medium,No,CA,7.04,41,76,1
STU_927296,Matthew Basu,auroraharish@example.org,+919040249707,Male,22,70.5,1.0,0,Medium,Yes,CA,6.51,487,50,0
STU_697581,Gopal Baria,deolsanaya@example.net,+918446740670,Female,22,82.5,2.0,1,Medium,No,B.Com,6.54,201,99,0
STU_478955,Damini Sachar,sanghvirayaan@example.org,+917149872847,Male,20,77.8,3.4,0,High,No,B.Com,7.39,124,67,0
STU_784367,Samuel Mann,qkashyap@example.com,+919656939332,Male,23,89.2,5.9,1,Medium,No,B.Com,7.5,206,57,0
STU_868454,Azad Kunda,ojasnigam@example.net,+919263189400,Male,19,90.5,4.6,0,High,No,B.Com,5.2,134,57,0
STU_392580,Pratyush Sidhu,yashasvi42@example.org,+916185822453,Male,22,87.4,14.0,1,Low,No,B.Com,7.46,291,97,0
STU_498193,Pallavi Chaudhry,maanav53@example.net,+919498565205,Female,21,77.9,3.2,0,Low,No,B.Com,7.55,280,69,0
STU_414461,Rohan Parikh,radhakrishnankashvi@example.net,+917651677253,Male,21,92.1,1.5,0,High,No,CA,6.29,277,37,1
