student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,class_level,cgpa,homework_rate,parent_meetings,dropout_status
STU_164580,Bachittar Kulkarni,kalaodika@example.org,+918985856860,Male,22,80.5,2.4,0,Low,No,10th,6.82,91,4,0
STU_911896,Faqid Srivastava,gillsamuel@example.com,+917000710765,Female,21,76.2,2.9,1,High,Yes,10th,7.63,44,0,1
STU_110617,Sanya Radhakrishnan,chahalvivaan@example.com,+917135575629,Male,20,81.5,7.2,0,Medium,No,10th,6.56,29,0,0
STU_773567,Neel Bains,bhandarieiravati@example.org,+918221618452,Male,23,75.8,5.3,0,Medium,No,12th,7.77,33,4,0
STU_510850,Sanya Sama,pravel@example.org,+918604824963,Male,19,69.1,2.9,0,High,No,10th,4.79,45,3,1
STU_754811,Pratyush Dora,vedashukla@example.com,+919241032231,Male,22,86.5,9.3,0,High,No,10th,6.42,74,3,0
STU_419284,Bhavya Bumb,gandhigeetika@example.org,+919960423375,Female,23,74.8,5.4,0,Medium,No,12th,8.82,69,1,0
STU_804245,Farhan Dugal,ybains@example.com,+917757116345,Male,21,81.3,1.9,0,High,No,10th,6.64,81,2,0
STU_516875,Henry Zacharia,magarbimala@example.net,+916860160662,Male,18,88.7,2.2,1,High,No,12th,4.28,79,4,1
STU_802152,Jagdish Bains,zbatra@example.org,+917967951022,Male,20,90.7,3.6,0,Low,No,10th,7.69,34,3,1
STU_507317,Ayush Lanka,chamelibobal@example.net,+918992733634,Male,18,84.7,5.6,0,High,No,10th,7.77,95,1,1
STU_768657,Gagan Shukla,vamakshizacharia@example.org,+916564469330,Male,20,88.5,7.4,0,High,No,12th,5.96,66,2,0
STU_504950,Aarini Mangal,dgandhi@example.org,+919809854300,Female,20,97.2,1.9,0,High,No,10th,9.61,61,2,0
STU_730112,Harshil Joshi,rushilmahajan@example.net,+919594366619,Female,18,96.1,4.2,0,Medium,No,10th,7.7,45,1,1
STU_472349,Ikshita Tailor,vivaanahluwalia@example.com,+919622821956,Female,21,74.7,3.7,0,High,No,12th,6.32,48,1,1
STU_708204,Neel Shan,advik30@example.net,+919323507631,Female,18,86.7,3.1,0,High,Yes,12th,9.5,90,1,0
STU_900537,Rehaan Choudhary,divanlaban@example.net,+916600081427,Male,18,81.4,3.9,0,Low,No,12th,6.78,60,3,0
STU_401017,Yashica Bhardwaj,chauhanwahab@example.org,+917395556581,Female,21,55.0,4.4,0,Medium,No,10th,5.95,86,2,1
STU_424786,Hiral Puri,saumya85@example.net,+918552577758,Male,22,73.8,2.7,0,High,Yes,12th,6.86,82,3,0
STU_660612,Ayush Kapadia,brajagopalan@example.com,+919049592959,Male,18,93.4,8.1,1,High,No,12th,8.17,78,0,0
STU_879607,Rayaan Dash,maanav57@example.org,+918220236541,Female,19,89.3,2.9,0,Medium,No,12th,6.27,64,1,1
STU_299287,Harinakshi Chatterjee,karannandini@example.org,+919369019744,Male,20,87.7,2.5,1,Medium,No,12th,6.06,81,4,0
STU_237590,Advik Modi,rushilom@example.net,+917555211228,Female,23,81.9,3.4,0,Medium,No,10th,6.9,99,4,0
STU_114021,Sanaya Roy,dakshadevi@example.com,+916394693406,Male,18,85.2,3.5,0,Medium,Yes,12th,8.3,40,0,0
STU_173033,Arjun Wali,chandresh95@example.org,+917516191927,Male,21,82.8,5.5,0,Low,No,12th,7.12,38,3,0
STU_594777,Varsha Tella,kashvi33@example.net,+918715933703,Male,21,96.3,5.1,0,High,No,12th,5.54,58,2,0
STU_114707,Osha Agarwal,gandhilajita@example.com,+919671816683,Female,20,89.8,4.1,0,Medium,No,10th,9.23,34,4,0
STU_137507,Jairaj Suresh,geetikachowdhury@example.org,+916015398065,Male,19,71.4,8.9,1,Medium,No,12th,8.01,85,0,0
STU_664852,Ranbir Tandon,aaravbhardwaj@example.net,+917500451152,Male,23,89.9,5.5,0,Medium,No,10th,7.89,65,1,0
STU_420089,Damyanti Agarwal,rayaan95@example.org,+919717696460,Female,23,99.3,3.6,1,Low,Yes,10th,9.98,54,2,0
STU_784325,Diya Vasa,dalalfaris@example.com,+919482367213,Female,20,89.6,3.2,0,Medium,No,10th,8.66,25,2,0
STU_839228,Aarush Chahal,zehaan26@example.org,+919194268752,Female,19,76.3,5.8,0,Medium,No,10th,4.58,43,0,0
STU_172131,Advika Wali,jvasa@example.net,+918616325446,Female,21,92.0,1.8,0,Medium,Yes,12th,8.58,70,0,0
STU_698841,Diya Kohli,kundaaashi@example.org,+918403694451,Male,21,81.5,3.4,0,Low,No,10th,7.58,73,3,0
STU_846837,Harsh Prabhu,hritikbarad@example.net,+916734411875,Male,18,92.4,7.4,0,Medium,No,10th,6.77,82,1,0
STU_566991,Vivaan Ghosh,jagdish01@example.com,+919814940361,Male,23,72.2,4.6,0,Medium,No,12th,7.78,43,2,0
STU_676062,Wyatt Dewan,ayaansant@example.com,+919917910541,Male,18,81.4,3.5,1,High,No,10th,6.88,28,4,1
STU_139800,Nikita Balasubramanian,sarnavaishnavi@example.org,+919984741298,Male,21,83.1,4.0,0,Medium,No,10th,5.53,57,1,1
STU_451144,Charles Parekh,owali@example.net,+917019868591,Female,20,92.5,1.5,0,Medium,No,10th,9.66,57,4,0
STU_215036,Eta Bhatnagar,kallapranav@example.com,+917828379918,Male,23,67.2,3.0,1,High,No,10th,8.51,47,0,1
STU_770570,Tanveer Vaidya,tdoctor@example.net,+917025574750,Female,21,84.7,7.4,0,High,Yes,12th,6.82,20,0,1
STU_295481,George Tank,suriekbal@example.org,+918045269027,Male,22,73.7,1.2,0,Medium,No,10th,5.5,22,0,0
STU_448756,Jagrati Rajagopal,sathekrisha@example.com,+919462345131,Male,21,89.2,1.0,2,High,No,10th,7.47,95,0,1
STU_245358,Libni Mane,guhaabhimanyu@example.org,+917925275802,Female,22,62.9,4.3,0,High,No,10th,8.88,44,1,0
STU_712619,Harinakshi Borde,dasguptarushil@example.org,+919875429516,Female,20,58.3,3.4,0,Low,No,12th,6.79,89,4,0
STU_501136,Deepa Choudhury,hemangini56@example.org,+919490086452,Female,20,96.0,4.0,2,Medium,No,12th,8.49,26,0,1
STU_877560,Maanas Suresh,singhalkiaan@example.net,+916680065365,Male,23,90.2,4.8,0,High,No,12th,7.1,82,2,0
STU_346812,Anika Koshy,yugwadhwa@example.com,+916374047666,Female,23,96.7,9.0,0,Low,No,12th,10.0,41,2,0
STU_838336,Chakradev Pall,mugdha76@example.com,+917306363884,Female,21,67.4,10.8,0,Medium,No,12th,4.01,31,1,1
STU_320947,Jeremiah Contractor,cbarman@example.com,+919869886178,Female,19,93.4,7.7,0,High,No,10th,5.28,42,2,0
STU_642747,Kai Som,khannaidika@example.org,+919440013673,Female,19,75.5,2.6,1,Medium,No,10th,9.38,61,4,1
STU_786533,Jalsa Gara,sanaya75@example.com,+917421716879,Female,22,70.8,6.9,1,Medium,No,10th,7.32,46,0,1
STU_509886,Manthan Chatterjee,jyotishukla@example.org,+918910751755,Male,22,89.3,2.9,0,High,No,12th,5.88,65,0,1
STU_604514,Umang Tailor,aryaneha@example.net,+918128127076,Female,23,91.7,4.2,0,Medium,No,12th,8.01,97,1,1
STU_333322,Hamsini Mital,fhalder@example.org,+918164606416,Male,20,97.1,2.5,1,High,No,10th,8.41,45,2,1
STU_880028,Dev Raju,radha10@example.net,+916517842873,Female,23,91.5,4.8,0,High,No,10th,8.49,65,1,0
STU_513635,Nidhi Wali,krishnamurthyaarav@example.com,+917097837813,Female,19,87.2,2.4,2,Medium,No,10th,6.85,99,2,1
STU_219999,Ati Atwal,myadav@example.org,+916543255827,Female,20,55.9,3.5,0,Medium,No,12th,10.0,69,0,1
STU_973059,Advay Pingle,sneha83@example.net,+919844820407,Female,22,85.9,1.5,0,Medium,No,10th,5.58,87,0,1
STU_598042,Hemani Bail,maneayaan@example.net,+918021917100,Male,21,80.5,4.6,1,Low,Yes,10th,8.92,70,1,1
STU_679754,Amara Ranganathan,farisviswanathan@example.net,+919817974171,Female,22,91.3,8.9,0,Medium,No,10th,7.98,67,1,0
STU_112300,Harshil Kari,aishani63@example.net,+917692269655,Female,23,81.9,3.1,0,Medium,No,10th,7.97,98,4,0
STU_384594,Lipika Bhatti,kapurnakul@example.com,+916728743613,Female,19,72.7,2.5,0,Medium,No,10th,5.79,34,0,1
STU_403408,Balendra Dugar,bajajayaan@example.net,+919584276648,Female,18,83.2,2.2,0,High,No,10th,7.08,91,2,0
STU_632078,Vritti Prakash,nilima95@example.org,+917530135922,Male,21,93.0,5.4,1,Medium,No,12th,7.35,99,0,1
STU_679856,Ojas Naik,jyoti79@example.org,+918935621380,Male,20,76.8,4.2,0,Low,No,10th,7.34,46,4,0
STU_286857,Upma Ganesan,anthonyaurora@example.net,+917709821196,Female,20,93.0,7.7,0,Low,No,10th,10.0,99,2,0
STU_249390,Janani Rama,igaba@example.net,+919798150601,Female,21,85.9,4.0,0,Medium,No,10th,6.71,25,3,1
STU_217799,Jackson Ramesh,gnagarajan@example.org,+918073301212,Female,20,83.2,5.1,0,High,No,12th,5.49,25,4,1
STU_100081,Indira Nair,charanhanda@example.org,+917116062437,Female,22,76.6,6.0,0,High,No,10th,4.0,93,1,0
STU_778359,Qushi Choudhry,balakrishnanidika@example.com,+916885290032,Female,18,82.8,2.3,0,Medium,No,12th,6.65,88,3,0
STU_330759,Advik Ghose,pooja00@example.org,+916538493090,Female,21,95.0,9.8,0,Medium,No,10th,5.88,89,3,0
STU_320479,Charvi Dyal,chakradevsarna@example.com,+918890950999,Male,20,95.7,5.6,0,Medium,No,10th,8.66,53,4,0
STU_263126,Ishwar Chawla,nirja75@example.com,+918381633817,Male,19,72.8,0.8,0,Medium,No,12th,5.35,66,0,1
STU_761736,Ethan Manda,rchhabra@example.net,+916880522471,Female,22,92.0,3.0,0,Medium,Yes,10th,8.34,38,3,0
STU_440870,Tanveer Rana,karichasmum@example.com,+916862222610,Male,23,69.6,4.5,1,High,No,10th,10.0,86,1,0
STU_525586,Damini Vohra,niharikatrivedi@example.com,+916346950334,Female,22,80.5,4.5,0,Medium,No,12th,6.8,33,4,1
STU_656837,Vasatika Tailor,hemani12@example.com,+916063434401,Male,18,89.7,3.5,0,Medium,No,10th,10.0,44,4,0
STU_964396,Ojas Bhavsar,psha@example.org,+916759531856,Female,20,92.4,2.5,2,High,No,10th,6.67,55,0,1
STU_965075,Qadim Pillai,nayakchasmum@example.com,+919761974783,Female,21,97.3,4.8,0,Medium,No,10th,7.15,23,2,0
STU_977737,Simon Jayaraman,virajmukhopadhyay@example.net,+916328856834,Male,20,75.8,9.3,0,Medium,Yes,12th,9.72,77,3,0
STU_336140,Chakradev Vyas,malhotraabdul@example.org,+917668498497,Female,20,58.2,0.9,1,Medium,Yes,10th,8.97,74,4,1
STU_956721,Dhriti Anne,devansh62@example.com,+916879985915,Female,21,88.7,5.9,0,Medium,No,10th,6.75,66,2,0
STU_158139,Udarsh Babu,ucchalwali@example.net,+917273879561,Female,19,75.0,4.5,0,Medium,No,12th,7.2,72,0,0
STU_494403,Udarsh Karan,chasmummody@example.net,+916595817646,Female,20,65.4,3.9,2,High,No,10th,6.9,67,4,1
STU_665667,Hiral Mangat,zwagle@example.net,+918941291712,Male,19,84.0,5.5,0,Low,No,10th,8.45,48,1,0
STU_892124,Lila Lal,anya88@example.org,+917640945320,Female,21,74.6,6.1,0,Medium,No,12th,8.26,58,1,0
STU_912960,Yashica Hayre,mwable@example.org,+916185327527,Male,23,91.1,1.6,0,Low,No,10th,7.47,89,3,0
STU_349626,Hema Chada,wboase@example.net,+917505154278,Male,21,93.0,3.5,0,Low,No,12th,7.35,29,0,0
STU_460674,Shivansh Dhingra,ucchalbuch@example.org,+919967828756,Female,21,90.7,3.0,0,Medium,Yes,10th,5.1,30,1,0
STU_310028,Warinder Khanna,jagvi10@example.net,+916221410390,Female,18,55.8,2.8,0,High,No,10th,7.13,73,2,1
STU_130344,Lopa Saxena,comarzayyan@example.org,+917788101958,Male,19,91.4,8.9,0,Medium,No,10th,4.44,58,2,0
STU_650231,Vrinda Pal,edhitha34@example.com,+919536047641,Male,22,86.3,4.4,0,Medium,No,12th,6.24,78,1,0
STU_342696,Watika Dey,thakkarwarjas@example.com,+918944723036,Male,19,82.5,1.4,0,Low,No,12th,5.47,67,4,0
STU_477167,Ryan Parmer,vnagar@example.com,+916785354081,Male,22,84.2,14.0,0,High,No,12th,8.43,65,3,0
STU_832080,Ekiya Comar,rachana78@example.net,+918830296201,Female,18,48.6,4.5,0,Medium,No,12th,8.63,73,4,0
STU_800192,Jagat Panchal,utaneja@example.net,+919918834769,Female,18,80.6,4.7,1,Medium,Yes,10th,8.21,32,2,1
STU_748415,Avni Sule,osehgal@example.net,+919346417168,Female,23,70.8,3.8,0,High,Yes,10th,9.56,76,1,1
STU_504892,Jasmit Tella,pdugal@example.com,+917141765490,Female,20,95.7,1.3,0,Medium,Yes,12th,7.06,88,3,0
STU_954408,Gaurang Virk,sastryjeremiah@example.net,+916662244798,Female,19,83.1,7.4,0,Medium,No,10th,6.28,98,2,0
STU_375908,Nidra Chana,maninetra@example.net,+916574631038,Male,23,89.7,3.5,0,Medium,No,10th,5.68,27,1,1
STU_468190,Manan Shukla,zarna83@example.com,+917949888874,Female,19,87.2,8.5,0,Medium,No,12th,4.67,21,4,0
STU_934925,Dipta Barad,jagrati92@example.org,+916785088747,Male,19,83.8,4.7,0,Medium,No,10th,7.88,79,0,0
STU_245400,Kalpit Viswanathan,lnaidu@example.com,+916080685024,Female,21,86.5,7.9,0,Medium,No,12th,6.51,27,2,1
STU_836256,Dayamai Thakkar,chaayakara@example.org,+916671600843,Female,19,63.1,1.5,0,Medium,No,10th,6.69,20,4,1
STU_545599,Dhriti Dutta,orinderchoudhary@example.com,+917770579046,Female,20,92.4,6.9,0,Medium,No,12th,4.49,84,3,0
STU_119131,Thomas Bhatti,rsengupta@example.net,+919000190148,Female,23,76.3,4.5,0,Medium,No,12th,7.81,73,0,0
STU_315186,Dayita Lanka,kevin29@example.net,+919339050395,Male,21,76.1,8.1,0,Medium,No,10th,8.47,68,3,0
